#=====================================================
# File created:        Mon-27-Oct-2025-at-01-16-24PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.027052
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2460.7471  0.7518
   00001    0.6252   -4767.0010  0.7686
   00002    0.5712   -5355.8977  0.7661
   00003    0.5504   -5806.8840  0.7612
   00004    0.5284   -6130.2533  0.7754
   00005    0.5216   -6406.7628  0.7809
   00006    0.4924   -6618.0901  0.7850
   00007    0.5044   -6842.9792  0.7913
   00008    0.4724   -7011.5646  0.7890
   00009    0.4720   -7104.3283  0.7941
   00010    0.4724   -7222.1415  0.7959
   00011    0.4628   -7343.1327  0.8010
   00012    0.4712   -7389.8981  0.8034
   00013    0.4688   -7447.0506  0.8066
   00014    0.4568   -7471.0218  0.8013
   00015    0.4532   -7534.4722  0.7974
   00016    0.4472   -7567.6593  0.8008
   00017    0.4404   -7628.1909  0.7934
   00018    0.4540   -7566.9593  0.7985
   00019    0.4624   -7661.2253  0.8020
   00020    0.4288   -7674.4036  0.8071
   00021    0.4244   -7698.6681  0.8082
   00022    0.4272   -7747.5449  0.8236
   00023    0.4260   -7768.7308  0.8256
   00024    0.4428   -7824.8488  0.8368
   00025    0.4388   -7866.6713  0.8305
   00026    0.4316   -7851.4830  0.8272
   00027    0.4316   -7891.2386  0.8313
   00028    0.4184   -7909.4434  0.8254
   00029    0.4364   -7901.8215  0.8236
   00030    0.4368   -7917.8500  0.8296
   00031    0.4392   -7886.8090  0.8363
   00032    0.4268   -7955.4420  0.8401
   00033    0.4272   -7938.1434  0.8391
   00034    0.4384   -8005.0801  0.8335
   00035    0.4296   -8076.1426  0.8327
   00036    0.4144   -8060.0417  0.8322
   00037    0.4080   -8108.0198  0.8286
   00038    0.4264   -8124.4541  0.8264
   00039    0.4108   -8122.6664  0.8319
   00040    0.4372   -8161.6947  0.8328
   00041    0.4152   -8188.6761  0.8411
   00042    0.4196   -8197.7381  0.8441
   00043    0.4216   -8177.0463  0.8423
   00044    0.4272   -8218.0885  0.8423
   00045    0.4120   -8175.2797  0.8452
   00046    0.4256   -8185.7655  0.8466
   00047    0.4340   -8187.7282  0.8391
   00048    0.4240   -8186.7029  0.8344
   00049    0.4220   -8187.1709  0.8314
   00050    0.4200   -8189.0987  0.8205
