#=====================================================
# File created:        Thu-23-Oct-2025-at-05-45-44PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.566835
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2476.5991  0.7575
   00001    0.6660   -3642.6018  0.7676
   00002    0.6392   -4405.5249  0.7741
   00003    0.5836   -4992.8478  0.7720
   00004    0.5640   -5417.1833  0.7781
   00005    0.5296   -5778.4294  0.7887
   00006    0.5176   -6037.3121  0.7970
   00007    0.5072   -6183.2779  0.8056
   00008    0.4940   -6445.1041  0.8092
   00009    0.4832   -6649.9732  0.8149
   00010    0.4788   -6800.3482  0.8242
   00011    0.4732   -6893.6876  0.8297
   00012    0.4856   -7016.0667  0.8293
   00013    0.4708   -7119.3131  0.8310
   00014    0.4528   -7187.5996  0.8331
   00015    0.4632   -7240.7183  0.8289
   00016    0.4616   -7406.9370  0.8363
   00017    0.4416   -7485.7999  0.8389
   00018    0.4440   -7510.0778  0.8402
   00019    0.4524   -7483.4596  0.8415
   00020    0.4476   -7520.9332  0.8387
   00021    0.4440   -7567.7748  0.8333
   00022    0.4584   -7619.6809  0.8278
   00023    0.4508   -7671.9461  0.8226
   00024    0.4352   -7734.9411  0.8247
   00025    0.4412   -7750.7802  0.8233
   00026    0.4460   -7753.1500  0.8255
   00027    0.4440   -7792.3741  0.8307
   00028    0.4488   -7852.2036  0.8291
   00029    0.4396   -7845.8271  0.8296
   00030    0.4196   -7875.7514  0.8320
   00031    0.4372   -7870.4991  0.8369
   00032    0.4328   -7922.3990  0.8280
   00033    0.4192   -7927.4860  0.8273
   00034    0.4544   -7946.9370  0.8327
   00035    0.4376   -7953.7120  0.8314
   00036    0.4240   -7956.1171  0.8343
   00037    0.4264   -7965.9897  0.8300
   00038    0.4184   -7972.8265  0.8331
   00039    0.4408   -7986.0887  0.8351
   00040    0.4164   -8029.9806  0.8325
   00041    0.4240   -8042.5953  0.8361
   00042    0.4304   -8007.2273  0.8367
   00043    0.4204   -8016.5266  0.8341
   00044    0.4280   -7977.3066  0.8269
   00045    0.4440   -8002.7840  0.8207
   00046    0.4244   -8054.5084  0.8242
   00047    0.4344   -8030.6190  0.8236
   00048    0.4328   -8029.1774  0.8245
   00049    0.4204   -8012.6212  0.8246
   00050    0.4184   -7987.2284  0.8291
