#=====================================================
# File created:        Mon-27-Oct-2025-at-12-48-43PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.029939
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2545.5480  0.7588
   00001    0.6104   -4847.0589  0.7763
   00002    0.5696   -5424.3427  0.7735
   00003    0.5356   -5950.1086  0.7817
   00004    0.5320   -6195.9301  0.7820
   00005    0.4916   -6439.8410  0.7907
   00006    0.4932   -6618.4159  0.7904
   00007    0.4932   -6879.2200  0.7927
   00008    0.4744   -7046.6617  0.8049
   00009    0.4776   -7164.3494  0.7986
   00010    0.4652   -7256.5715  0.7945
   00011    0.4556   -7387.7556  0.7912
   00012    0.4600   -7446.2097  0.7957
   00013    0.4620   -7550.5450  0.7941
   00014    0.4532   -7601.2505  0.7945
   00015    0.4436   -7589.9734  0.7977
   00016    0.4428   -7612.6107  0.7975
   00017    0.4308   -7677.1355  0.7979
   00018    0.4568   -7651.3425  0.8069
   00019    0.4608   -7690.2204  0.8079
   00020    0.4464   -7731.1982  0.8092
   00021    0.4496   -7714.4348  0.8064
   00022    0.4316   -7783.6495  0.8164
   00023    0.4360   -7792.9053  0.8180
   00024    0.4480   -7841.7055  0.8130
   00025    0.4344   -7853.6722  0.8200
   00026    0.4164   -7893.8414  0.8238
   00027    0.4308   -7941.5406  0.8247
   00028    0.4144   -7961.6791  0.8242
   00029    0.4400   -7916.0169  0.8204
   00030    0.4212   -7926.3362  0.8216
   00031    0.4300   -7945.5699  0.8259
   00032    0.4372   -7977.6415  0.8280
   00033    0.4420   -7991.8923  0.8349
   00034    0.4284   -8025.3440  0.8312
   00035    0.4360   -8012.8579  0.8341
   00036    0.4256   -7971.4460  0.8280
   00037    0.4220   -7995.5868  0.8309
   00038    0.4320   -7998.0982  0.8266
   00039    0.4344   -7970.2142  0.8223
   00040    0.4428   -8008.1091  0.8324
   00041    0.4372   -8085.8566  0.8339
   00042    0.4424   -8110.2016  0.8344
   00043    0.4340   -8119.4278  0.8350
   00044    0.4120   -8111.8023  0.8321
   00045    0.4184   -8121.0928  0.8370
   00046    0.4472   -8126.3286  0.8394
   00047    0.4184   -8086.3100  0.8378
   00048    0.4264   -8116.9772  0.8337
   00049    0.4180   -8139.6981  0.8288
   00050    0.4068   -8185.7211  0.8257
