#=====================================================
# File created:        Mon-27-Oct-2025-at-04-38-41PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.037002
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2427.0807  0.2609
   00001    0.6280   -4637.0873  0.2613
   00002    0.5856   -5249.8841  0.2878
   00003    0.5692   -5723.1565  0.3026
   00004    0.5420   -6081.7773  0.3091
   00005    0.5192   -6404.8655  0.3185
   00006    0.4856   -6562.4582  0.3306
   00007    0.4908   -6770.9550  0.3280
   00008    0.4956   -6986.0385  0.3261
   00009    0.4672   -7088.8653  0.3136
   00010    0.4640   -7151.0746  0.3211
   00011    0.4600   -7255.7342  0.3189
   00012    0.4640   -7359.3637  0.3208
   00013    0.4628   -7455.8848  0.3246
   00014    0.4496   -7519.0214  0.3281
   00015    0.4580   -7593.6567  0.3307
   00016    0.4484   -7708.2897  0.3313
   00017    0.4480   -7754.6251  0.3274
   00018    0.4280   -7686.1618  0.3172
   00019    0.4364   -7713.4159  0.3168
   00020    0.4440   -7754.4927  0.3216
   00021    0.4536   -7774.7722  0.3208
   00022    0.4704   -7857.8899  0.3202
   00023    0.4468   -7833.1647  0.3236
   00024    0.4372   -7877.6480  0.3304
   00025    0.4460   -7928.5562  0.3287
   00026    0.4364   -7910.8606  0.3326
   00027    0.4228   -7909.1988  0.3402
   00028    0.4228   -7988.3833  0.3334
   00029    0.4396   -7959.4938  0.3332
   00030    0.4388   -8016.5171  0.3342
   00031    0.4240   -8028.0479  0.3375
   00032    0.4368   -8055.8817  0.3278
   00033    0.4404   -8035.1675  0.3291
   00034    0.4412   -7993.3311  0.3262
   00035    0.4152   -8004.4754  0.3295
   00036    0.4240   -8017.2178  0.3287
   00037    0.4324   -8062.2240  0.3316
   00038    0.4120   -8087.1487  0.3255
   00039    0.4364   -8023.4688  0.3266
   00040    0.4412   -8056.3203  0.3360
   00041    0.4136   -8100.2148  0.3260
   00042    0.4364   -8060.5116  0.3202
   00043    0.4296   -8060.5623  0.3182
   00044    0.4248   -8072.1553  0.3208
   00045    0.4324   -8057.2640  0.3320
   00046    0.4396   -8088.0114  0.3378
   00047    0.4284   -8088.0374  0.3341
   00048    0.4296   -8094.5553  0.3314
   00049    0.4384   -8103.5505  0.3339
   00050    0.4356   -8134.3860  0.3325
