#=====================================================
# File created:        Thu-23-Oct-2025-at-12-17-40PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.863899
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2504.6795  0.2596 
   00001    0.6872   -3677.2736  0.2581 
   00002    0.6172   -4439.3171  0.2594 
   00003    0.5840   -4966.0581  0.2661 
   00004    0.5684   -5463.0943  0.2766 
   00005    0.5348   -5878.5553  0.2843 
   00006    0.5320   -6100.7327  0.2883 
   00007    0.5120   -6318.4738  0.2856 
   00008    0.5084   -6597.9622  0.2917 
   00009    0.4928   -6749.8679  0.2990 
   00010    0.4564   -6896.8935  0.3011 
   00011    0.4732   -7017.7499  0.3016 
   00012    0.4640   -7065.2446  0.3040 
   00013    0.4724   -7207.2945  0.3085 
   00014    0.4780   -7272.8669  0.3059 
   00015    0.4620   -7353.1111  0.3066 
   00016    0.4576   -7424.6191  0.3106 
   00017    0.4732   -7446.9321  0.3091 
   00018    0.4464   -7499.3030  0.3117 
   00019    0.4532   -7564.3830  0.3075 
   00020    0.4704   -7599.0816  0.3077 
   00021    0.4320   -7586.6749  0.3065 
   00022    0.4412   -7604.9343  0.3027 
   00023    0.4668   -7660.9633  0.3008 
   00024    0.4520   -7719.4609  0.2983 
   00025    0.4252   -7746.9340  0.3000 
   00026    0.4400   -7834.9290  0.3005 
   00027    0.4444   -7848.7825  0.3017 
   00028    0.4384   -7874.4079  0.3073 
   00029    0.4316   -7902.0407  0.2977 
   00030    0.4184   -7938.5208  0.2943 
   00031    0.4268   -7920.5003  0.2985 
   00032    0.4244   -7990.9461  0.2981 
   00033    0.4276   -7953.6004  0.3019 
   00034    0.4356   -7969.3715  0.3040 
   00035    0.4392   -7995.8495  0.3098 
   00036    0.4116   -7998.2793  0.3163 
   00037    0.4176   -8034.1944  0.3162 
   00038    0.4340   -8035.2420  0.3137 
   00039    0.4420   -8014.4405  0.3053 
   00040    0.4368   -8004.0897  0.3104 
   00041    0.4236   -8006.0542  0.3077 
   00042    0.4340   -7997.4031  0.3080 
   00043    0.4376   -8058.9778  0.3119 
   00044    0.4220   -8094.8326  0.3224 
   00045    0.4364   -8095.8141  0.3214 
   00046    0.4184   -8086.5011  0.3235 
   00047    0.4420   -8102.8397  0.3254 
   00048    0.4368   -8064.4866  0.3306 
   00049    0.4256   -8114.3946  0.3351 
   00050    0.4288   -8124.0586  0.3362 
