#=====================================================
# File created:        Mon-27-Oct-2025-at-12-12-36PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.611673
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2544.6061  0.7605
   00001    0.6784   -3716.0808  0.7610
   00002    0.6228   -4484.3134  0.7610
   00003    0.5924   -5073.4607  0.7595
   00004    0.5468   -5577.9181  0.7653
   00005    0.5240   -5911.2730  0.7605
   00006    0.5104   -6171.0951  0.7689
   00007    0.5164   -6399.5605  0.7683
   00008    0.5080   -6613.4369  0.7697
   00009    0.5020   -6749.9242  0.7789
   00010    0.4692   -6883.2792  0.7709
   00011    0.4864   -6975.8236  0.7707
   00012    0.4620   -7096.7853  0.7633
   00013    0.4700   -7244.5844  0.7622
   00014    0.4760   -7336.7295  0.7559
   00015    0.4508   -7446.4547  0.7632
   00016    0.4436   -7549.4708  0.7637
   00017    0.4508   -7582.1112  0.7706
   00018    0.4436   -7587.3080  0.7701
   00019    0.4220   -7662.1224  0.7761
   00020    0.4476   -7675.8690  0.7821
   00021    0.4236   -7720.2024  0.7812
   00022    0.4308   -7748.5189  0.7796
   00023    0.4376   -7739.5231  0.7828
   00024    0.4272   -7758.8822  0.7892
   00025    0.4284   -7792.6319  0.7960
   00026    0.4320   -7822.5349  0.7992
   00027    0.4404   -7830.6594  0.8035
   00028    0.4380   -7897.2468  0.8014
   00029    0.4404   -7927.4657  0.8044
   00030    0.4032   -7929.2024  0.8002
   00031    0.4376   -7933.7584  0.8021
   00032    0.4280   -7968.4731  0.8056
   00033    0.4488   -7941.6040  0.8041
   00034    0.4232   -7974.0874  0.8080
   00035    0.4244   -7981.5638  0.8083
   00036    0.4316   -7966.7685  0.8022
   00037    0.4264   -7950.2858  0.8057
   00038    0.4428   -7968.4453  0.7999
   00039    0.4132   -7993.9375  0.8007
   00040    0.4352   -8004.4766  0.8040
   00041    0.4424   -7987.0551  0.8064
   00042    0.4364   -8034.6385  0.8122
   00043    0.4428   -8059.1617  0.8171
   00044    0.4244   -8089.6893  0.8118
   00045    0.4352   -8115.7938  0.8144
   00046    0.4252   -8103.4109  0.8200
   00047    0.4328   -8104.6482  0.8227
   00048    0.4224   -8099.9213  0.8233
   00049    0.4272   -8114.4628  0.8252
   00050    0.4244   -8135.0005  0.8285
