#=====================================================
# File created:        Thu-23-Oct-2025-at-07-12-03PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.989825
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2476.1417  0.7527
   00001    0.6848   -3628.4236  0.7644
   00002    0.6376   -4548.3594  0.7663
   00003    0.5780   -5182.6095  0.7636
   00004    0.5440   -5607.9776  0.7721
   00005    0.5364   -5942.1437  0.7756
   00006    0.5296   -6207.7602  0.7790
   00007    0.5064   -6393.9000  0.7756
   00008    0.4912   -6633.6911  0.7791
   00009    0.4740   -6823.4297  0.7872
   00010    0.4840   -6930.5736  0.7887
   00011    0.4780   -7021.7590  0.7930
   00012    0.4588   -7081.2850  0.7950
   00013    0.4564   -7151.9167  0.8046
   00014    0.4600   -7264.3500  0.8093
   00015    0.4628   -7314.3189  0.8084
   00016    0.4664   -7336.1809  0.8047
   00017    0.4684   -7410.3433  0.7974
   00018    0.4344   -7504.0323  0.7989
   00019    0.4544   -7546.7035  0.8073
   00020    0.4472   -7646.5763  0.8099
   00021    0.4360   -7703.6311  0.8111
   00022    0.4464   -7764.4505  0.8112
   00023    0.4324   -7780.2102  0.8182
   00024    0.4632   -7792.3229  0.8143
   00025    0.4332   -7821.0069  0.8136
   00026    0.4264   -7846.6702  0.8143
   00027    0.4360   -7841.4730  0.8184
   00028    0.4332   -7923.3711  0.8201
   00029    0.4388   -7939.1687  0.8207
   00030    0.4472   -7929.8090  0.8276
   00031    0.4372   -7900.8093  0.8256
   00032    0.4212   -7907.4774  0.8276
   00033    0.4352   -7976.1243  0.8334
   00034    0.4236   -7979.4999  0.8313
   00035    0.4252   -8022.6886  0.8393
   00036    0.4300   -8060.8711  0.8469
   00037    0.4164   -7998.3553  0.8436
   00038    0.4444   -8044.6236  0.8404
   00039    0.4400   -8009.0413  0.8399
   00040    0.4264   -8052.3332  0.8377
   00041    0.4248   -8046.4792  0.8353
   00042    0.4352   -8031.3753  0.8394
   00043    0.4284   -8054.2569  0.8346
   00044    0.4248   -8036.1108  0.8361
   00045    0.4280   -8048.5555  0.8265
   00046    0.4068   -8085.7485  0.8306
   00047    0.4300   -8093.3623  0.8266
   00048    0.4140   -8119.9403  0.8204
   00049    0.4168   -8112.1248  0.8185
   00050    0.4320   -8156.8284  0.8179
