#=====================================================
# File created:        Mon-27-Oct-2025-at-01-12-14PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.038057
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2453.0947  0.7664
   00001    0.6168   -4741.7843  0.7873
   00002    0.5752   -5229.7597  0.7884
   00003    0.5544   -5622.4098  0.7797
   00004    0.5440   -5965.6824  0.7728
   00005    0.5152   -6260.3616  0.7707
   00006    0.5012   -6480.6646  0.7700
   00007    0.5004   -6627.3010  0.7805
   00008    0.4868   -6811.7363  0.7850
   00009    0.4872   -6973.1917  0.7973
   00010    0.4640   -7117.0814  0.7955
   00011    0.4680   -7184.0521  0.8024
   00012    0.4640   -7236.9710  0.8032
   00013    0.4752   -7379.5676  0.8100
   00014    0.4732   -7429.4117  0.8089
   00015    0.4448   -7493.6251  0.8075
   00016    0.4512   -7576.4596  0.8098
   00017    0.4488   -7643.0322  0.8057
   00018    0.4376   -7697.2018  0.8106
   00019    0.4368   -7742.5787  0.8113
   00020    0.4308   -7785.4397  0.8090
   00021    0.4316   -7804.6421  0.8068
   00022    0.4480   -7842.9327  0.8073
   00023    0.4216   -7851.8676  0.8003
   00024    0.4348   -7901.2184  0.8047
   00025    0.4436   -7915.9305  0.7993
   00026    0.4236   -7966.9092  0.8022
   00027    0.4148   -7989.8439  0.8086
   00028    0.4228   -8011.1229  0.8104
   00029    0.3996   -8009.2375  0.8082
   00030    0.4380   -8036.3376  0.8061
   00031    0.4392   -8041.8964  0.8121
   00032    0.4488   -8077.1363  0.8185
   00033    0.4244   -8065.6276  0.8186
   00034    0.4412   -8043.3735  0.8111
   00035    0.4224   -8033.0697  0.8058
   00036    0.4180   -8046.9393  0.8094
   00037    0.4272   -8107.4453  0.8107
   00038    0.4268   -8155.7630  0.8094
   00039    0.4228   -8153.8511  0.8109
   00040    0.4264   -8135.4897  0.8089
   00041    0.4448   -8187.5164  0.8144
   00042    0.4272   -8231.1782  0.8214
   00043    0.4240   -8263.1145  0.8258
   00044    0.4228   -8269.9674  0.8197
   00045    0.4124   -8258.0862  0.8219
   00046    0.4044   -8199.0362  0.8160
   00047    0.4044   -8202.2295  0.8223
   00048    0.4108   -8261.4165  0.8329
   00049    0.4120   -8216.3441  0.8418
   00050    0.4272   -8220.4994  0.8445
