LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.416, Time: 3.268713 s
         1497901 function calls (1481118 primitive calls) in 5.006 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  856/725    0.004    0.000    0.031    0.000 inspect.py:2501(_signature_from_callable)
      220    0.001    0.000    0.030    0.000 _compiler.py:578(_code)
  477/220    0.002    0.000    0.030    0.000 _parser.py:452(_parse_sub)
  559/246    0.012    0.000    0.029    0.000 _parser.py:512(_parse)
        1    0.000    0.000    0.027    0.027 _axes.py:67(Axes)
        1    0.000    0.000    0.027    0.027 subprocess.py:1(<module>)
        1    0.000    0.000    0.026    0.026 art3d.py:1(<module>)
        1    0.000    0.000    0.026    0.026 __init__.py:245(_check_versions)
        1    0.000    0.000    0.025    0.025 _pickle.py:1(<module>)
        1    0.000    0.000    0.025    0.025 axis.py:1(<module>)
      426    0.001    0.000    0.024    0.000 rcsetup.py:332(validate_color)
        1    0.000    0.000    0.024    0.024 PngImagePlugin.py:1(<module>)
      429    0.000    0.000    0.024    0.000 colors.py:224(is_color_like)
      462    0.001    0.000    0.023    0.000 colors.py:278(to_rgba)
        1    0.000    0.000    0.023    0.023 LebwohlLasher.py:94(savedat)
       34    0.023    0.001    0.023    0.001 {built-in method _io.open}
        2    0.000    0.000    0.022    0.011 common.py:1(<module>)
      186    0.001    0.000    0.022    0.000 colors.py:325(_to_rgba_no_colorcycle)
        1    0.000    0.000    0.022    0.022 tempfile.py:1(<module>)
      456    0.022    0.000    0.022    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.022    0.022 shutil.py:1(<module>)
      692    0.007    0.000    0.022    0.000 inspect.py:2397(_signature_from_function)
     6868    0.013    0.000    0.021    0.000 inspect.py:2743(__init__)
        8    0.000    0.000    0.021    0.003 __init__.py:73(import_module)
        8    0.000    0.000    0.021    0.003 <frozen importlib._bootstrap>:1375(_gcd_import)
        1    0.000    0.000    0.020    0.020 scale.py:1(<module>)
        1    0.000    0.000    0.020    0.020 _npyio_impl.py:1(<module>)
        1    0.000    0.000    0.020    0.020 geo.py:1(<module>)
        1    0.000    0.000    0.019    0.019 lines.py:1(<module>)
       13    0.000    0.000    0.019    0.001 rcsetup.py:426(validate_font_properties)
       10    0.000    0.000    0.019    0.002 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
        1    0.000    0.000    0.019    0.019 mathtext.py:1(<module>)
        1    0.000    0.000    0.019    0.019 legend.py:1(<module>)
        1    0.000    0.000    0.019    0.019 _machar.py:1(<module>)
       46    0.000    0.000    0.018    0.000 core.py:3440(mayReturnEmpty)
        1    0.000    0.000    0.018    0.018 random.py:1(<module>)
    48/27    0.000    0.000    0.018    0.001 functools.py:982(__get__)
171950/170737    0.017    0.000    0.018    0.000 {built-in method builtins.len}
    42/21    0.000    0.000    0.018    0.001 core.py:3413(re)
        1    0.000    0.000    0.018    0.018 category.py:1(<module>)
    10243    0.018    0.000    0.018    0.000 {method 'search' of 're.Pattern' objects}
       64    0.000    0.000    0.018    0.000 core.py:1574(__add__)
        1    0.000    0.000    0.017    0.017 offsetbox.py:1(<module>)
       65    0.000    0.000    0.017    0.000 core.py:4399(__init__)
        1    0.000    0.000    0.017    0.017 font_manager.py:1(<module>)
       51    0.011    0.000    0.017    0.000 _linalg.py:1383(eig)
      200    0.000    0.000    0.017    0.000 pyplot.py:175(_copy_docstring_and_deprecators)
    71677    0.013    0.000    0.017    0.000 {built-in method builtins.isinstance}
      456    0.001    0.000    0.016    0.000 artist.py:1530(number_of_parameters)
      220    0.001    0.000    0.016    0.000 _compiler.py:516(_compile_info)
  316/203    0.001    0.000    0.016    0.000 typing.py:392(inner)
        1    0.000    0.000    0.016    0.016 polar.py:1(<module>)
        1    0.000    0.000    0.016    0.016 colorizer.py:1(<module>)
        1    0.000    0.000    0.016    0.016 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.016    0.016 <frozen ntpath>:1(<module>)
    73267    0.016    0.000    0.016    0.000 {built-in method builtins.getattr}
    98428    0.016    0.000    0.016    0.000 {method 'startswith' of 'str' objects}
      147    0.000    0.000    0.016    0.000 {built-in method builtins.all}
3192/2713    0.005    0.000    0.016    0.000 {built-in method __new__ of type object at 0x5ee35eee4ae0}
        1    0.000    0.000    0.016    0.016 ticker.py:1(<module>)
      141    0.000    0.000    0.015    0.000 core.py:4427(<genexpr>)
        1    0.000    0.000    0.015    0.015 _fontconfig_pattern.py:55(_make_fontconfig_parser)
        2    0.000    0.000    0.015    0.007 ElementTree.py:1(<module>)
        1    0.000    0.000    0.015    0.015 fromnumeric.py:1(<module>)
    89210    0.015    0.000    0.015    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.015    0.015 _mathtext.py:1(<module>)
        1    0.000    0.000    0.014    0.014 _parser.py:1(<module>)
       94    0.001    0.000    0.014    0.000 __init__.py:1450(_preprocess_data)
16873/16839    0.006    0.000    0.014    0.000 {built-in method builtins.hasattr}
       19    0.000    0.000    0.014    0.001 rcsetup.py:814(validate_cycler)
