#=====================================================
# File created:        Mon-27-Oct-2025-at-04-42-49PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.100309
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2593.4789  0.2657
   00001    0.6780   -3772.9005  0.2548
   00002    0.6328   -4573.5449  0.2638
   00003    0.5676   -5169.0755  0.2562
   00004    0.5548   -5543.4535  0.2615
   00005    0.5432   -5864.6432  0.2710
   00006    0.5108   -6056.7225  0.2827
   00007    0.5244   -6340.7671  0.2902
   00008    0.5004   -6516.5204  0.2932
   00009    0.4920   -6666.8770  0.2964
   00010    0.4768   -6763.7456  0.2966
   00011    0.4768   -6923.4908  0.2939
   00012    0.4608   -7099.4284  0.2952
   00013    0.4520   -7215.9038  0.2982
   00014    0.4768   -7283.6313  0.3002
   00015    0.4732   -7359.1029  0.3029
   00016    0.4480   -7403.6734  0.2979
   00017    0.4420   -7460.7864  0.3035
   00018    0.4616   -7514.7580  0.2937
   00019    0.4412   -7629.2458  0.3009
   00020    0.4552   -7678.5535  0.2995
   00021    0.4448   -7734.2803  0.3074
   00022    0.4444   -7789.2525  0.3112
   00023    0.4596   -7792.0694  0.3093
   00024    0.4440   -7767.6063  0.3071
   00025    0.4140   -7798.5559  0.3003
   00026    0.4332   -7856.4988  0.3028
   00027    0.4564   -7853.9689  0.2984
   00028    0.4436   -7886.7318  0.3050
   00029    0.4248   -7912.8770  0.3021
   00030    0.4372   -7955.8673  0.2985
   00031    0.4456   -7982.2600  0.2976
   00032    0.4272   -8011.1504  0.2992
   00033    0.4236   -7986.8080  0.2980
   00034    0.4172   -7994.3099  0.3012
   00035    0.4336   -8050.3018  0.2999
   00036    0.4196   -8112.1991  0.3032
   00037    0.4220   -8059.0056  0.3033
   00038    0.4308   -8029.9872  0.3025
   00039    0.4256   -8057.1677  0.3036
   00040    0.4404   -8074.9789  0.3034
   00041    0.4084   -8142.0078  0.3067
   00042    0.4532   -8145.2113  0.3087
   00043    0.4464   -8137.0875  0.3050
   00044    0.4264   -8148.6666  0.3038
   00045    0.4380   -8194.3813  0.3008
   00046    0.4124   -8178.4791  0.2999
   00047    0.4292   -8179.1599  0.3011
   00048    0.4268   -8146.0799  0.3044
   00049    0.4220   -8145.8211  0.3027
   00050    0.4200   -8167.1438  0.3080
