#=====================================================
# File created:        Mon-27-Oct-2025-at-04-43-05PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.040509
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2517.7993  0.2601
   00001    0.6164   -4779.3938  0.2642
   00002    0.5852   -5400.5032  0.2684
   00003    0.5572   -5806.5241  0.2634
   00004    0.5300   -6126.3831  0.2711
   00005    0.5440   -6439.9648  0.2763
   00006    0.5008   -6707.4855  0.2847
   00007    0.4712   -6881.3645  0.2847
   00008    0.4868   -7055.2996  0.2772
   00009    0.4456   -7236.8183  0.2753
   00010    0.4744   -7316.0611  0.2851
   00011    0.4596   -7410.1437  0.2853
   00012    0.4684   -7466.3250  0.2833
   00013    0.4660   -7531.8045  0.2813
   00014    0.4484   -7590.2431  0.2750
   00015    0.4516   -7605.0364  0.2790
   00016    0.4364   -7675.1904  0.2776
   00017    0.4172   -7675.4910  0.2852
   00018    0.4516   -7684.3892  0.2864
   00019    0.4412   -7728.7299  0.2876
   00020    0.4484   -7794.9671  0.2843
   00021    0.4408   -7841.7216  0.2824
   00022    0.4440   -7842.7195  0.2776
   00023    0.4352   -7880.0530  0.2764
   00024    0.4292   -7908.8986  0.2788
   00025    0.4328   -7916.9458  0.2819
   00026    0.4380   -7931.3882  0.2822
   00027    0.4344   -7951.9610  0.2849
   00028    0.4268   -7964.6156  0.2823
   00029    0.4412   -7970.0003  0.2820
   00030    0.4276   -8027.5885  0.2811
   00031    0.4348   -8020.0641  0.2828
   00032    0.4252   -8033.2378  0.2847
   00033    0.4224   -8022.6285  0.2953
   00034    0.4268   -8033.9892  0.2960
   00035    0.4388   -8018.4029  0.2963
   00036    0.4256   -8009.1365  0.2959
   00037    0.4384   -7992.6389  0.3035
   00038    0.4320   -8025.2486  0.3085
   00039    0.4360   -8022.4804  0.3004
   00040    0.4416   -8004.2378  0.3026
   00041    0.4352   -7997.3437  0.2958
   00042    0.4348   -8055.6417  0.2957
   00043    0.4380   -8110.1349  0.2856
   00044    0.4368   -8141.8340  0.2799
   00045    0.4204   -8123.4832  0.2955
   00046    0.4196   -8165.6589  0.2972
   00047    0.4332   -8155.2582  0.3033
   00048    0.4300   -8152.0577  0.2992
   00049    0.4320   -8166.9454  0.2947
   00050    0.4100   -8183.8251  0.2947
