#=====================================================
# File created:        Mon-27-Oct-2025-at-12-11-45PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.074901
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2493.4386  0.7632
   00001    0.6912   -3763.8478  0.7629
   00002    0.6176   -4522.0774  0.7689
   00003    0.5936   -5080.2006  0.7780
   00004    0.5668   -5507.3857  0.7829
   00005    0.5340   -5891.7973  0.7823
   00006    0.5028   -6196.0332  0.7840
   00007    0.4956   -6491.4081  0.7854
   00008    0.4932   -6643.7894  0.7918
   00009    0.4976   -6819.1129  0.7959
   00010    0.4652   -6933.6788  0.7953
   00011    0.4708   -7016.4873  0.7926
   00012    0.4668   -7093.2129  0.8082
   00013    0.4660   -7206.0641  0.8073
   00014    0.4476   -7280.6750  0.8071
   00015    0.4520   -7356.4356  0.8101
   00016    0.4600   -7372.7481  0.8075
   00017    0.4524   -7405.1027  0.8072
   00018    0.4644   -7469.8013  0.8011
   00019    0.4708   -7506.5491  0.7960
   00020    0.4560   -7539.9054  0.8002
   00021    0.4680   -7597.8417  0.7930
   00022    0.4420   -7572.2381  0.7886
   00023    0.4324   -7583.1694  0.7842
   00024    0.4320   -7646.7417  0.7782
   00025    0.4300   -7687.7367  0.7823
   00026    0.4328   -7706.5607  0.7772
   00027    0.4288   -7722.4854  0.7719
   00028    0.4500   -7730.6716  0.7782
   00029    0.4444   -7836.5700  0.7893
   00030    0.4380   -7859.6304  0.7857
   00031    0.4416   -7853.8814  0.7837
   00032    0.4416   -7857.7600  0.7831
   00033    0.4388   -7895.0736  0.7849
   00034    0.4144   -7857.5868  0.7869
   00035    0.4256   -7883.9641  0.7892
   00036    0.4308   -7913.9807  0.7860
   00037    0.4452   -7941.0883  0.7823
   00038    0.4188   -7956.2264  0.7870
   00039    0.4348   -7937.9628  0.7803
   00040    0.4456   -7921.5405  0.7736
   00041    0.4328   -7918.7094  0.7774
   00042    0.4344   -7884.5891  0.7759
   00043    0.4412   -7910.5676  0.7781
   00044    0.4332   -7910.3562  0.7742
   00045    0.4508   -7944.3562  0.7849
   00046    0.4348   -7910.5924  0.7831
   00047    0.4384   -7920.7639  0.7757
   00048    0.4392   -7925.2233  0.7780
   00049    0.4332   -7946.4494  0.7803
   00050    0.4360   -8008.6316  0.7846
