#=====================================================
# File created:        Mon-27-Oct-2025-at-04-42-39PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.844743
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2691.7888  0.2641
   00001    0.6776   -3831.2939  0.2619
   00002    0.6124   -4592.4774  0.2521
   00003    0.5692   -5150.7703  0.2630
   00004    0.5584   -5490.3439  0.2686
   00005    0.5488   -5815.6244  0.2716
   00006    0.5168   -6064.5480  0.2638
   00007    0.5376   -6261.2414  0.2663
   00008    0.5000   -6485.0077  0.2841
   00009    0.4940   -6695.5894  0.2859
   00010    0.4788   -6841.4964  0.2837
   00011    0.4900   -6940.2967  0.2878
   00012    0.4812   -7103.3786  0.2860
   00013    0.4568   -7240.0834  0.2905
   00014    0.4404   -7207.1597  0.2874
   00015    0.4748   -7268.1011  0.2920
   00016    0.4396   -7348.9811  0.2947
   00017    0.4384   -7382.1874  0.2948
   00018    0.4476   -7421.6327  0.2914
   00019    0.4580   -7448.9424  0.2940
   00020    0.4588   -7463.9397  0.2938
   00021    0.4584   -7528.5769  0.3009
   00022    0.4448   -7545.8955  0.3057
   00023    0.4628   -7568.5255  0.3043
   00024    0.4420   -7615.6345  0.3091
   00025    0.4560   -7593.4207  0.3071
   00026    0.4376   -7631.8753  0.3040
   00027    0.4440   -7679.3049  0.3020
   00028    0.4512   -7754.5209  0.3048
   00029    0.4380   -7761.3194  0.3059
   00030    0.4584   -7718.3926  0.3047
   00031    0.4320   -7768.0238  0.3056
   00032    0.4312   -7816.8874  0.3125
   00033    0.4464   -7892.1465  0.3066
   00034    0.4348   -7892.3540  0.3077
   00035    0.4464   -7882.5436  0.3062
   00036    0.4476   -7869.7009  0.3064
   00037    0.4372   -7873.6979  0.3064
   00038    0.4336   -7901.1383  0.3068
   00039    0.4280   -7919.4626  0.3095
   00040    0.4348   -7929.5085  0.3072
   00041    0.4408   -7924.6104  0.3045
   00042    0.4356   -7910.8439  0.3009
   00043    0.4436   -7902.4888  0.2969
   00044    0.4300   -7897.1151  0.2944
   00045    0.4276   -7927.6996  0.2910
   00046    0.4324   -7916.7635  0.2928
   00047    0.4312   -7941.0167  0.2906
   00048    0.4340   -7940.9496  0.2895
   00049    0.4332   -7915.0101  0.2934
   00050    0.4304   -7944.7157  0.2957
