#=====================================================
# File created:        Thu-23-Oct-2025-at-02-34-21PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.977118
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2516.7307  0.2526 
   00001    0.6888   -3759.7211  0.2607 
   00002    0.6340   -4553.8011  0.2661 
   00003    0.5668   -5073.4631  0.2687 
   00004    0.5424   -5490.7319  0.2784 
   00005    0.5240   -5880.7183  0.2787 
   00006    0.5228   -6136.0259  0.2736 
   00007    0.4972   -6416.7144  0.2686 
   00008    0.5088   -6596.4510  0.2680 
   00009    0.4928   -6798.5448  0.2824 
   00010    0.4864   -6878.1082  0.2867 
   00011    0.4728   -6984.3196  0.2823 
   00012    0.4616   -7077.0051  0.2696 
   00013    0.4624   -7160.3905  0.2658 
   00014    0.4664   -7284.1173  0.2753 
   00015    0.4680   -7310.9292  0.2797 
   00016    0.4572   -7409.5095  0.2814 
   00017    0.4548   -7443.3078  0.2821 
   00018    0.4496   -7486.8852  0.2859 
   00019    0.4500   -7548.3189  0.2897 
   00020    0.4352   -7578.9965  0.2907 
   00021    0.4280   -7573.4970  0.2857 
   00022    0.4276   -7650.0163  0.2871 
   00023    0.4280   -7698.2425  0.2792 
   00024    0.4300   -7760.3471  0.2770 
   00025    0.4392   -7802.7703  0.2796 
   00026    0.4284   -7856.7309  0.2817 
   00027    0.4364   -7853.8135  0.2837 
   00028    0.4252   -7838.1352  0.2845 
   00029    0.4536   -7838.5046  0.2815 
   00030    0.4284   -7868.6546  0.2763 
   00031    0.4244   -7860.6334  0.2802 
   00032    0.4648   -7848.5568  0.2765 
   00033    0.4324   -7881.8691  0.2779 
   00034    0.4204   -7906.9619  0.2827 
   00035    0.4472   -7945.9514  0.2852 
   00036    0.4328   -7956.9173  0.2965 
   00037    0.4128   -7968.2514  0.2928 
   00038    0.4312   -7984.3046  0.2975 
   00039    0.4440   -8040.4881  0.2955 
   00040    0.4432   -8040.4496  0.2998 
   00041    0.4308   -8035.1374  0.2982 
   00042    0.4312   -8041.8766  0.2979 
   00043    0.4244   -8066.1853  0.2945 
   00044    0.4116   -8083.9016  0.2975 
   00045    0.4356   -8121.1908  0.3044 
   00046    0.4268   -8086.7614  0.3053 
   00047    0.4236   -8111.9095  0.3037 
   00048    0.4300   -8107.3389  0.3034 
   00049    0.4308   -8088.4399  0.3008 
   00050    0.4176   -8101.8725  0.3006 
