#=====================================================
# File created:        Mon-27-Oct-2025-at-01-09-29PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.028759
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2449.2557  0.7542
   00001    0.6180   -4731.5218  0.7695
   00002    0.5696   -5279.3410  0.7698
   00003    0.5580   -5743.3056  0.7689
   00004    0.5300   -6082.5446  0.7682
   00005    0.5152   -6401.2482  0.7679
   00006    0.5104   -6633.7870  0.7655
   00007    0.4812   -6837.8686  0.7749
   00008    0.4840   -6918.6987  0.7786
   00009    0.4640   -7039.1348  0.7861
   00010    0.4604   -7187.5597  0.7821
   00011    0.4544   -7259.7081  0.7797
   00012    0.4556   -7354.1479  0.7762
   00013    0.4664   -7399.2440  0.7791
   00014    0.4432   -7421.7502  0.7777
   00015    0.4760   -7534.8349  0.7760
   00016    0.4616   -7563.7295  0.7730
   00017    0.4492   -7612.7424  0.7735
   00018    0.4524   -7696.8682  0.7771
   00019    0.4440   -7729.1630  0.7878
   00020    0.4512   -7813.6143  0.7838
   00021    0.4452   -7790.8417  0.7893
   00022    0.4428   -7820.9961  0.7823
   00023    0.4496   -7800.5310  0.7861
   00024    0.4376   -7901.4708  0.7885
   00025    0.4164   -7890.5697  0.7894
   00026    0.4520   -7889.2000  0.7930
   00027    0.4388   -7936.3774  0.7936
   00028    0.4284   -7928.8054  0.7988
   00029    0.4176   -7940.2092  0.7984
   00030    0.4292   -7973.1391  0.7933
   00031    0.4260   -8018.5190  0.7921
   00032    0.4312   -8061.4789  0.7901
   00033    0.4336   -8055.5918  0.7867
   00034    0.4320   -8073.3977  0.7842
   00035    0.4292   -8102.9530  0.7837
   00036    0.4316   -8095.7696  0.7853
   00037    0.4296   -8141.7981  0.7909
   00038    0.4384   -8150.4541  0.7941
   00039    0.4264   -8167.6573  0.7917
   00040    0.4248   -8204.9947  0.7921
   00041    0.4288   -8208.1145  0.7951
   00042    0.4168   -8215.2918  0.8004
   00043    0.4268   -8219.6747  0.7990
   00044    0.4076   -8153.9717  0.7953
   00045    0.4132   -8102.2736  0.8012
   00046    0.4388   -8114.8625  0.8044
   00047    0.4260   -8157.5559  0.8128
   00048    0.4068   -8182.9583  0.8206
   00049    0.3968   -8222.5612  0.8237
   00050    0.4208   -8262.1489  0.8174
