#=====================================================
# File created:        Mon-27-Oct-2025-at-01-13-23PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.023082
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2605.5625  0.7672
   00001    0.6156   -4808.4868  0.7793
   00002    0.5852   -5407.0619  0.7688
   00003    0.5504   -5828.3132  0.7724
   00004    0.5248   -6109.5772  0.7759
   00005    0.5016   -6348.6010  0.7805
   00006    0.5132   -6562.1796  0.7775
   00007    0.4912   -6724.6399  0.7958
   00008    0.4848   -6860.2055  0.7932
   00009    0.4784   -6977.0673  0.8087
   00010    0.4928   -7042.8508  0.7986
   00011    0.4644   -7121.7861  0.8019
   00012    0.4528   -7216.9112  0.8089
   00013    0.4492   -7263.0565  0.8077
   00014    0.4772   -7367.4557  0.8209
   00015    0.4464   -7414.5970  0.8212
   00016    0.4696   -7475.0145  0.8225
   00017    0.4572   -7503.2450  0.8091
   00018    0.4408   -7510.3622  0.8057
   00019    0.4504   -7530.5142  0.8101
   00020    0.4588   -7606.4928  0.8095
   00021    0.4348   -7653.2688  0.8142
   00022    0.4396   -7699.3263  0.8180
   00023    0.4352   -7770.1318  0.8199
   00024    0.4260   -7785.7782  0.8203
   00025    0.4400   -7792.3069  0.8164
   00026    0.4268   -7730.5790  0.8199
   00027    0.4416   -7751.7226  0.8143
   00028    0.4312   -7752.4381  0.8207
   00029    0.4528   -7767.8892  0.8245
   00030    0.4264   -7846.9642  0.8328
   00031    0.4484   -7869.1619  0.8282
   00032    0.4416   -7842.9707  0.8355
   00033    0.4208   -7909.1902  0.8355
   00034    0.4448   -7916.8817  0.8347
   00035    0.4344   -7889.6650  0.8275
   00036    0.4216   -7942.2874  0.8341
   00037    0.4408   -7961.0230  0.8306
   00038    0.4312   -7967.6156  0.8380
   00039    0.4428   -7948.2180  0.8349
   00040    0.4308   -7965.3067  0.8397
   00041    0.4288   -8018.6211  0.8442
   00042    0.4344   -8017.5313  0.8484
   00043    0.4468   -8066.9957  0.8460
   00044    0.4200   -8046.9153  0.8502
   00045    0.4184   -7984.6733  0.8559
   00046    0.4172   -8007.9217  0.8566
   00047    0.4228   -8041.7145  0.8601
   00048    0.4312   -8027.0314  0.8614
   00049    0.4520   -8062.5759  0.8631
   00050    0.4316   -8006.5714  0.8625
