#=====================================================
# File created:        Wed-29-Oct-2025-at-10-54-24AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.020173
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1306.4226  0.2651
   00001    0.6140   -2385.0518  0.2685
   00002    0.5732   -2715.2262  0.2605
   00003    0.5440   -2935.5101  0.2635
   00004    0.5132   -3131.6095  0.2670
   00005    0.4952   -3268.3885  0.2662
   00006    0.4988   -3356.4315  0.2756
   00007    0.4832   -3441.9994  0.2801
   00008    0.4800   -3487.4398  0.2863
   00009    0.4636   -3562.2662  0.2824
   00010    0.4560   -3580.0006  0.2765
   00011    0.4568   -3673.4712  0.2815
   00012    0.4548   -3717.7178  0.2840
   00013    0.4672   -3771.4184  0.2962
   00014    0.4604   -3795.2551  0.2955
   00015    0.4552   -3827.3323  0.2992
   00016    0.4340   -3818.0452  0.3054
   00017    0.4384   -3854.4610  0.3048
   00018    0.4260   -3880.7993  0.3010
   00019    0.4500   -3873.5486  0.2967
   00020    0.4388   -3889.0125  0.2956
   00021    0.4416   -3882.4139  0.2975
   00022    0.4384   -3919.5230  0.2930
   00023    0.4372   -3923.3085  0.2906
   00024    0.4412   -3906.2118  0.2879
   00025    0.4308   -3918.7855  0.2946
   00026    0.4300   -3945.5962  0.3037
   00027    0.4236   -3961.8711  0.3044
   00028    0.4472   -3958.7594  0.3027
   00029    0.4348   -3962.6905  0.3097
   00030    0.4344   -3941.9901  0.3144
   00031    0.4424   -3944.0782  0.3167
   00032    0.4464   -3995.0104  0.3198
   00033    0.4176   -4016.1461  0.3200
   00034    0.4264   -4018.8776  0.3170
   00035    0.4276   -4028.2492  0.3216
   00036    0.4308   -4011.8967  0.3168
   00037    0.4436   -4033.0208  0.3125
   00038    0.4172   -4057.3748  0.3121
   00039    0.4344   -4058.5209  0.3081
   00040    0.4248   -4059.4188  0.3060
   00041    0.4268   -4071.1520  0.3171
   00042    0.4244   -4069.0188  0.3210
   00043    0.4280   -4093.6109  0.3222
   00044    0.4260   -4081.7367  0.3226
   00045    0.4272   -4088.3176  0.3246
   00046    0.4048   -4067.7191  0.3270
   00047    0.4260   -4073.8922  0.3273
   00048    0.4132   -4074.5606  0.3234
   00049    0.4108   -4078.2166  0.3258
   00050    0.4076   -4070.5554  0.3240
