#=====================================================
# File created:        Sat-01-Nov-2025-at-08-53-47AM
# Size of lattice:     50x50
# Number of MC steps:  100
# Reduced temperature: 0.500
# Run time (s):        1.950664
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2553.7367  0.2570
   00001    0.6644   -3709.9274  0.2593
   00002    0.6068   -4467.3723  0.2633
   00003    0.5908   -5043.8753  0.2526
   00004    0.5672   -5459.5580  0.2610
   00005    0.5384   -5868.8894  0.2546
   00006    0.5200   -6195.2596  0.2708
   00007    0.5064   -6392.4399  0.2791
   00008    0.5064   -6584.9058  0.2798
   00009    0.4932   -6699.1368  0.2796
   00010    0.4864   -6823.0110  0.2848
   00011    0.4788   -6996.3964  0.2876
   00012    0.4608   -7047.2291  0.2888
   00013    0.4728   -7125.1670  0.2894
   00014    0.4696   -7158.2849  0.2878
   00015    0.4736   -7232.4584  0.2842
   00016    0.4592   -7297.0357  0.2877
   00017    0.4572   -7316.4163  0.2925
   00018    0.4616   -7360.2472  0.2952
   00019    0.4460   -7427.6728  0.2943
   00020    0.4388   -7442.3128  0.3004
   00021    0.4520   -7521.3780  0.2998
   00022    0.4408   -7537.8362  0.3014
   00023    0.4536   -7576.2156  0.3022
   00024    0.4284   -7623.4996  0.2999
   00025    0.4424   -7619.8056  0.3034
   00026    0.4556   -7642.2043  0.3010
   00027    0.4236   -7682.8781  0.3049
   00028    0.4276   -7755.9558  0.3083
   00029    0.4284   -7757.7586  0.3034
   00030    0.4468   -7768.7795  0.3041
   00031    0.4316   -7811.9826  0.3136
   00032    0.4384   -7866.2194  0.3225
   00033    0.4356   -7917.0774  0.3332
   00034    0.4448   -7910.8673  0.3368
   00035    0.4316   -7926.8193  0.3353
   00036    0.4372   -7964.3974  0.3396
   00037    0.4212   -7920.5798  0.3509
   00038    0.4456   -7944.6453  0.3504
   00039    0.4448   -7977.4676  0.3513
   00040    0.4272   -7967.5838  0.3539
   00041    0.4224   -7994.2491  0.3583
   00042    0.4296   -8058.1639  0.3656
   00043    0.4308   -8061.3191  0.3620
   00044    0.4276   -8032.3139  0.3564
   00045    0.4216   -8005.2683  0.3620
   00046    0.4436   -8022.1138  0.3647
   00047    0.4280   -8049.2377  0.3616
   00048    0.4264   -8088.8658  0.3649
   00049    0.4288   -8105.4815  0.3719
   00050    0.4156   -8054.2786  0.3652
   00051    0.4324   -8057.5656  0.3723
   00052    0.4340   -8054.1931  0.3766
   00053    0.4228   -8147.6058  0.3803
   00054    0.4208   -8138.5654  0.3810
   00055    0.4192   -8140.3656  0.3818
   00056    0.4256   -8102.9825  0.3852
   00057    0.4476   -8149.8723  0.3854
   00058    0.4236   -8167.0424  0.3844
   00059    0.4268   -8112.9191  0.3823
   00060    0.4344   -8120.4839  0.3855
   00061    0.4216   -8128.5469  0.3927
   00062    0.4084   -8123.0141  0.4007
   00063    0.4252   -8183.4231  0.3992
   00064    0.4332   -8234.4143  0.4018
   00065    0.4120   -8247.7061  0.4037
   00066    0.4180   -8247.6650  0.4059
   00067    0.4144   -8319.9907  0.4086
   00068    0.3992   -8271.4127  0.4106
   00069    0.4300   -8274.2187  0.4047
   00070    0.4472   -8246.6738  0.4123
   00071    0.4192   -8212.1768  0.4120
   00072    0.4300   -8210.7903  0.4063
   00073    0.4292   -8151.5108  0.4045
   00074    0.4188   -8164.4554  0.4020
   00075    0.4380   -8184.1781  0.4064
   00076    0.4188   -8171.9372  0.4017
   00077    0.4304   -8182.3130  0.3966
   00078    0.4060   -8202.6053  0.3976
   00079    0.4384   -8178.4927  0.3998
   00080    0.4144   -8202.4307  0.3974
   00081    0.4344   -8196.9293  0.3948
   00082    0.4028   -8189.1708  0.3914
   00083    0.3988   -8184.8332  0.3930
   00084    0.4180   -8228.7256  0.3957
   00085    0.4156   -8260.8058  0.3940
   00086    0.4180   -8240.5819  0.3999
   00087    0.4184   -8250.1021  0.4004
   00088    0.4152   -8290.9687  0.4044
   00089    0.4200   -8328.1947  0.4001
   00090    0.4132   -8340.4677  0.3981
   00091    0.4180   -8286.9049  0.3999
   00092    0.4152   -8251.2829  0.3985
   00093    0.4188   -8239.5172  0.3975
   00094    0.4268   -8275.5106  0.3921
   00095    0.4112   -8303.6991  0.3941
   00096    0.4292   -8316.4412  0.3964
   00097    0.4076   -8310.9575  0.4012
   00098    0.4196   -8296.8473  0.4057
   00099    0.4300   -8303.1375  0.4040
   00100    0.4432   -8293.0237  0.4033
