#=====================================================
# File created:        Mon-27-Oct-2025-at-12-48-54PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.024751
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2534.8728  0.7703
   00001    0.6220   -4754.3142  0.7641
   00002    0.5696   -5336.7189  0.7611
   00003    0.5416   -5796.6163  0.7640
   00004    0.5356   -6045.8709  0.7651
   00005    0.5232   -6266.4290  0.7735
   00006    0.5080   -6447.9565  0.7805
   00007    0.4936   -6685.5652  0.7826
   00008    0.4784   -6847.6181  0.7848
   00009    0.4868   -6955.9813  0.7849
   00010    0.4468   -7055.1919  0.7887
   00011    0.4616   -7145.7472  0.7944
   00012    0.4636   -7218.5233  0.7955
   00013    0.4640   -7298.2524  0.7994
   00014    0.4600   -7356.8929  0.8026
   00015    0.4456   -7460.1157  0.8028
   00016    0.4648   -7491.8434  0.8066
   00017    0.4636   -7530.0896  0.8092
   00018    0.4580   -7627.2665  0.8153
   00019    0.4544   -7671.6041  0.8108
   00020    0.4408   -7771.8458  0.8126
   00021    0.4296   -7785.6058  0.8070
   00022    0.4204   -7775.4213  0.8129
   00023    0.4492   -7799.6216  0.8102
   00024    0.4388   -7823.8947  0.8177
   00025    0.4356   -7884.8434  0.8271
   00026    0.4368   -7853.0422  0.8251
   00027    0.4272   -7878.7129  0.8243
   00028    0.4284   -7923.6181  0.8268
   00029    0.4328   -7949.6690  0.8346
   00030    0.4348   -7943.5589  0.8318
   00031    0.4380   -7957.7320  0.8305
   00032    0.4232   -8029.1494  0.8257
   00033    0.4392   -8059.8830  0.8264
   00034    0.4340   -8093.6428  0.8269
   00035    0.4160   -8094.7141  0.8289
   00036    0.4336   -8079.4055  0.8248
   00037    0.4348   -8099.3765  0.8206
   00038    0.4272   -8130.5922  0.8251
   00039    0.4272   -8103.3467  0.8250
   00040    0.4332   -8104.3674  0.8286
   00041    0.4336   -8129.6029  0.8273
   00042    0.4232   -8184.4763  0.8298
   00043    0.4244   -8166.1861  0.8332
   00044    0.4152   -8152.4669  0.8359
   00045    0.4160   -8182.7489  0.8356
   00046    0.4300   -8178.8991  0.8341
   00047    0.4260   -8233.0438  0.8262
   00048    0.4352   -8212.8588  0.8272
   00049    0.4168   -8234.3343  0.8281
   00050    0.4336   -8261.8928  0.8322
