#=====================================================
# File created:        Sat-01-Nov-2025-at-08-33-25AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.952377
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2482.7656  0.2635 
   00001    0.6732   -3754.1276  0.2829 
   00002    0.6092   -4538.1598  0.2836 
   00003    0.5852   -5032.6462  0.2867 
   00004    0.5712   -5381.1234  0.2900 
   00005    0.5684   -5723.8567  0.2892 
   00006    0.5268   -5959.7574  0.2925 
   00007    0.5208   -6182.2945  0.3046 
   00008    0.4996   -6417.3917  0.3017 
   00009    0.4840   -6621.9174  0.3066 
   00010    0.4924   -6737.6710  0.3029 
   00011    0.4740   -6849.8599  0.3072 
   00012    0.4728   -6985.5992  0.3134 
   00013    0.4804   -7119.7820  0.3079 
   00014    0.4576   -7223.6787  0.2983 
   00015    0.4648   -7281.3408  0.3031 
   00016    0.4624   -7387.3989  0.3085 
   00017    0.4732   -7423.8984  0.3093 
   00018    0.4416   -7476.5413  0.3147 
   00019    0.4556   -7491.1873  0.3195 
   00020    0.4484   -7525.0510  0.3208 
   00021    0.4520   -7600.8021  0.3201 
   00022    0.4588   -7649.7198  0.3209 
   00023    0.4420   -7730.7021  0.3220 
   00024    0.4400   -7727.4723  0.3267 
   00025    0.4276   -7758.1457  0.3359 
   00026    0.4440   -7801.4074  0.3333 
   00027    0.4456   -7830.9037  0.3349 
   00028    0.4320   -7796.3313  0.3435 
   00029    0.4296   -7828.5406  0.3470 
   00030    0.4408   -7831.4989  0.3502 
   00031    0.4416   -7869.6113  0.3494 
   00032    0.4444   -7914.5163  0.3574 
   00033    0.4264   -7919.1113  0.3499 
   00034    0.4324   -7959.0448  0.3555 
   00035    0.4324   -7978.2012  0.3569 
   00036    0.4224   -7977.2575  0.3533 
   00037    0.4220   -7965.2337  0.3526 
   00038    0.4168   -7994.8654  0.3611 
   00039    0.4352   -8010.0265  0.3607 
   00040    0.4308   -8012.5326  0.3602 
   00041    0.4064   -8022.9981  0.3602 
   00042    0.4264   -8026.0804  0.3627 
   00043    0.4356   -8018.8507  0.3601 
   00044    0.4436   -8039.1554  0.3599 
   00045    0.4368   -8036.8266  0.3606 
   00046    0.4392   -8104.5573  0.3570 
   00047    0.4256   -8076.9354  0.3586 
   00048    0.4428   -8046.8510  0.3511 
   00049    0.4216   -8041.2417  0.3491 
   00050    0.4104   -8070.6394  0.3480 
