#=====================================================
# File created:        Sat-01-Nov-2025-at-08-55-32AM
# Size of lattice:     50x50
# Number of MC steps:  100
# Reduced temperature: 0.500
# Run time (s):        0.043426
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2467.1973  0.2631
   00001    0.6148   -4720.4080  0.2883
   00002    0.5804   -5361.4100  0.2965
   00003    0.5420   -5811.1632  0.3083
   00004    0.5348   -6154.6482  0.3261
   00005    0.5084   -6414.8569  0.3266
   00006    0.5036   -6624.6320  0.3327
   00007    0.4972   -6786.8684  0.3382
   00008    0.4836   -6907.2666  0.3378
   00009    0.4920   -7013.2373  0.3430
   00010    0.4656   -7109.3781  0.3426
   00011    0.4680   -7175.5301  0.3419
   00012    0.4616   -7285.0939  0.3401
   00013    0.4664   -7422.8856  0.3462
   00014    0.4356   -7443.0967  0.3518
   00015    0.4468   -7503.1448  0.3616
   00016    0.4532   -7542.1672  0.3659
   00017    0.4492   -7564.5551  0.3716
   00018    0.4756   -7614.6013  0.3717
   00019    0.4472   -7695.8481  0.3747
   00020    0.4308   -7718.7644  0.3881
   00021    0.4332   -7756.7946  0.3851
   00022    0.4360   -7774.3936  0.3843
   00023    0.4536   -7811.6174  0.3823
   00024    0.4320   -7815.3676  0.3893
   00025    0.4384   -7841.0649  0.3870
   00026    0.4400   -7875.5150  0.3936
   00027    0.4188   -7872.1638  0.3963
   00028    0.4288   -7852.4993  0.3953
   00029    0.4416   -7884.9258  0.4009
   00030    0.4292   -7904.1989  0.3973
   00031    0.4260   -7949.6101  0.3999
   00032    0.4376   -7915.5748  0.3928
   00033    0.4404   -7925.6596  0.3950
   00034    0.4436   -7950.0557  0.3965
   00035    0.4304   -8006.4643  0.4035
   00036    0.4468   -8025.3886  0.4054
   00037    0.4228   -8009.0241  0.4080
   00038    0.4428   -8012.7162  0.4037
   00039    0.4412   -8040.7282  0.3959
   00040    0.4316   -8071.1371  0.3970
   00041    0.4276   -8067.3027  0.3963
   00042    0.4196   -8063.6583  0.3962
   00043    0.4232   -8040.6616  0.4034
   00044    0.4284   -8085.4072  0.4126
   00045    0.4152   -8111.7405  0.4197
   00046    0.4216   -8139.8058  0.4243
   00047    0.4152   -8128.4954  0.4264
   00048    0.4340   -8135.6361  0.4293
   00049    0.4272   -8152.0530  0.4279
   00050    0.4208   -8174.2522  0.4318
   00051    0.4264   -8135.2312  0.4274
   00052    0.4268   -8122.1087  0.4264
   00053    0.4264   -8112.4787  0.4251
   00054    0.4212   -8121.9733  0.4261
   00055    0.4224   -8139.4219  0.4276
   00056    0.4168   -8140.5971  0.4277
   00057    0.4156   -8205.3657  0.4281
   00058    0.4180   -8236.5839  0.4329
   00059    0.4308   -8204.2869  0.4257
   00060    0.4392   -8185.1927  0.4266
   00061    0.4180   -8203.7255  0.4298
   00062    0.4184   -8242.8567  0.4286
   00063    0.4236   -8285.0710  0.4275
   00064    0.4320   -8300.0418  0.4364
   00065    0.4216   -8239.1006  0.4413
   00066    0.4332   -8267.4048  0.4548
   00067    0.4196   -8278.2138  0.4588
   00068    0.4244   -8282.2518  0.4565
   00069    0.4152   -8300.7882  0.4533
   00070    0.4072   -8288.7952  0.4598
   00071    0.4336   -8239.9798  0.4687
   00072    0.4272   -8234.1523  0.4642
   00073    0.4244   -8234.9448  0.4602
   00074    0.4120   -8288.7604  0.4700
   00075    0.4220   -8215.5785  0.4786
   00076    0.4104   -8247.2593  0.4832
   00077    0.4220   -8276.9853  0.4843
   00078    0.4172   -8312.3927  0.4831
   00079    0.4148   -8312.5223  0.4872
   00080    0.4308   -8333.1395  0.4922
   00081    0.4336   -8306.6680  0.4912
   00082    0.4280   -8330.7142  0.4922
   00083    0.4092   -8366.4262  0.4962
   00084    0.4160   -8387.0966  0.5000
   00085    0.4100   -8361.8202  0.5077
   00086    0.4156   -8325.4715  0.5070
   00087    0.4336   -8315.5296  0.5046
   00088    0.4176   -8311.5741  0.5082
   00089    0.4128   -8306.1482  0.5097
   00090    0.4288   -8294.5746  0.5090
   00091    0.4016   -8324.8268  0.5174
   00092    0.4064   -8303.0170  0.5163
   00093    0.4096   -8275.5754  0.5186
   00094    0.4224   -8280.8943  0.5171
   00095    0.4216   -8333.8493  0.5176
   00096    0.4072   -8337.2655  0.5168
   00097    0.4156   -8352.3778  0.5151
   00098    0.4192   -8378.7356  0.5176
   00099    0.4276   -8351.8063  0.5201
   00100    0.4336   -8335.8465  0.5174
