#=====================================================
# File created:        Fri-31-Oct-2025-at-03-07-09PM
# Size of lattice:     64x64
# Number of MC steps:  50
# Reduced temperature: 1.000
# Run time (s):        0.605690
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -3946.9041  0.2513 
   00001    0.5745   -7533.0992  0.2603 
   00002    0.5183   -7792.8851  0.2553 
   00003    0.4934   -7870.9486  0.2650 
   00004    0.4802   -7918.7580  0.2714 
   00005    0.4609   -7910.6720  0.2811 
   00006    0.4629   -7929.8118  0.2775 
   00007    0.4673   -7950.7388  0.2777 
   00008    0.4622   -7971.3878  0.2779 
   00009    0.4617   -8056.5307  0.2794 
   00010    0.4568   -8005.3144  0.2770 
   00011    0.4531   -8188.6013  0.2782 
   00012    0.4521   -8136.6865  0.2633 
   00013    0.4546   -8155.4526  0.2595 
   00014    0.4536   -8203.7589  0.2664 
   00015    0.4526   -8236.2153  0.2731 
   00016    0.4443   -8144.3265  0.2781 
   00017    0.4478   -8158.4702  0.2778 
   00018    0.4490   -8187.0922  0.2792 
   00019    0.4482   -8030.5741  0.2745 
   00020    0.4463   -8029.6156  0.2767 
   00021    0.4390   -7995.5324  0.2752 
   00022    0.4529   -8022.3238  0.2665 
   00023    0.4519   -8067.7801  0.2709 
   00024    0.4392   -8088.7858  0.2786 
   00025    0.4458   -8072.2592  0.2713 
   00026    0.4509   -7965.2153  0.2628 
   00027    0.4558   -7984.6564  0.2718 
   00028    0.4546   -7972.5281  0.2720 
   00029    0.4573   -7974.8983  0.2737 
   00030    0.4604   -7988.0976  0.2739 
   00031    0.4614   -8090.2164  0.2900 
   00032    0.4558   -8086.0281  0.2830 
   00033    0.4514   -8158.7366  0.2701 
   00034    0.4429   -8103.2089  0.2608 
   00035    0.4404   -8098.5688  0.2778 
   00036    0.4490   -8002.6849  0.2728 
   00037    0.4434   -8044.9460  0.2681 
   00038    0.4465   -8063.0693  0.2682 
   00039    0.4502   -7903.4349  0.2581 
   00040    0.4507   -7944.8744  0.2612 
   00041    0.4546   -7993.2387  0.2711 
   00042    0.4475   -7951.5109  0.2842 
   00043    0.4441   -7938.6068  0.2769 
   00044    0.4543   -7959.3564  0.2723 
   00045    0.4578   -8009.7804  0.2613 
   00046    0.4482   -8113.9962  0.2597 
   00047    0.4482   -8065.1762  0.2602 
   00048    0.4580   -8013.6755  0.2664 
   00049    0.4597   -7901.8498  0.2752 
   00050    0.4673   -7883.2327  0.2789 
