#=====================================================
# File created:        Sat-01-Nov-2025-at-08-38-37AM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        7.398957
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9850.2553  0.2569 
   00001    0.6847  -14925.0548  0.2583 
   00002    0.6176  -18178.5496  0.2573 
   00003    0.5884  -20338.0549  0.2606 
   00004    0.5540  -22070.5043  0.2633 
   00005    0.5356  -23261.8973  0.2623 
   00006    0.5252  -24504.3722  0.2606 
   00007    0.5080  -25392.5668  0.2660 
   00008    0.4936  -26136.7094  0.2697 
   00009    0.5014  -26698.2570  0.2686 
   00010    0.4858  -27175.9377  0.2684 
   00011    0.4814  -27731.5288  0.2680 
   00012    0.4736  -28211.8138  0.2728 
   00013    0.4779  -28652.8060  0.2770 
   00014    0.4592  -28995.8413  0.2813 
   00015    0.4614  -29329.8979  0.2816 
   00016    0.4542  -29585.8853  0.2805 
   00017    0.4565  -29809.6292  0.2866 
   00018    0.4547  -29990.4097  0.2898 
   00019    0.4587  -30172.7873  0.2931 
   00020    0.4504  -30366.9942  0.2949 
   00021    0.4446  -30477.4455  0.2963 
   00022    0.4454  -30581.5870  0.2972 
   00023    0.4380  -30743.2442  0.2968 
   00024    0.4389  -30885.8501  0.2963 
   00025    0.4396  -31043.4880  0.2977 
   00026    0.4409  -31123.1183  0.2999 
   00027    0.4369  -31155.3975  0.3030 
   00028    0.4373  -31249.9014  0.3043 
   00029    0.4393  -31302.9171  0.3073 
   00030    0.4426  -31414.6460  0.3093 
   00031    0.4302  -31412.5613  0.3079 
   00032    0.4389  -31478.3252  0.3142 
   00033    0.4287  -31671.9685  0.3126 
   00034    0.4324  -31735.5716  0.3106 
   00035    0.4337  -31840.1575  0.3114 
   00036    0.4302  -31850.5613  0.3096 
   00037    0.4263  -31887.6502  0.3103 
   00038    0.4415  -31989.7070  0.3146 
   00039    0.4353  -32002.3087  0.3162 
   00040    0.4285  -32081.1909  0.3163 
   00041    0.4301  -32116.0695  0.3180 
   00042    0.4272  -32151.3910  0.3144 
   00043    0.4271  -32192.1303  0.3159 
   00044    0.4329  -32229.6825  0.3147 
   00045    0.4344  -32327.1319  0.3149 
   00046    0.4292  -32449.3462  0.3125 
   00047    0.4220  -32475.8448  0.3128 
   00048    0.4322  -32401.7789  0.3130 
   00049    0.4270  -32385.0096  0.3121 
   00050    0.4316  -32433.5449  0.3125 
