#=====================================================
# File created:        Mon-27-Oct-2025-at-12-49-00PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.026046
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2571.0135  0.7634
   00001    0.6108   -4740.8800  0.7602
   00002    0.5928   -5364.9066  0.7632
   00003    0.5676   -5823.6007  0.7622
   00004    0.5160   -6184.7181  0.7531
   00005    0.5124   -6414.9452  0.7549
   00006    0.4976   -6602.1200  0.7570
   00007    0.4904   -6826.2420  0.7600
   00008    0.4716   -6953.4397  0.7584
   00009    0.4748   -7101.5537  0.7734
   00010    0.4864   -7221.4845  0.7769
   00011    0.4824   -7339.7416  0.7771
   00012    0.4520   -7411.8707  0.7802
   00013    0.4528   -7466.7642  0.7821
   00014    0.4588   -7496.3381  0.7833
   00015    0.4492   -7567.6773  0.7856
   00016    0.4472   -7654.7670  0.7899
   00017    0.4472   -7731.2826  0.7936
   00018    0.4504   -7783.4935  0.7932
   00019    0.4456   -7820.8954  0.7878
   00020    0.4268   -7840.1790  0.7830
   00021    0.4344   -7851.6483  0.7806
   00022    0.4460   -7891.5767  0.7849
   00023    0.4168   -7954.8042  0.7746
   00024    0.4512   -7939.7040  0.7729
   00025    0.4348   -7940.6905  0.7748
   00026    0.4472   -7967.0060  0.7744
   00027    0.4292   -7975.4356  0.7750
   00028    0.4404   -7932.3728  0.7788
   00029    0.4220   -7995.4553  0.7862
   00030    0.4140   -8019.8354  0.7862
   00031    0.4184   -8050.4772  0.7887
   00032    0.4228   -8057.1090  0.7861
   00033    0.4332   -8045.3848  0.7899
   00034    0.4444   -8065.8366  0.7890
   00035    0.4240   -8082.1484  0.7908
   00036    0.4408   -8109.9706  0.7998
   00037    0.4380   -8153.3688  0.8016
   00038    0.4208   -8177.7019  0.8105
   00039    0.4208   -8182.5989  0.8120
   00040    0.4316   -8180.4723  0.8164
   00041    0.4104   -8197.2943  0.8174
   00042    0.4384   -8205.2278  0.8127
   00043    0.4200   -8227.1806  0.8093
   00044    0.4352   -8218.0404  0.8109
   00045    0.4284   -8196.0926  0.8143
   00046    0.4180   -8180.3932  0.8184
   00047    0.4196   -8201.2089  0.8210
   00048    0.4200   -8214.8806  0.8255
   00049    0.4144   -8191.2729  0.8272
   00050    0.4256   -8213.6381  0.8312
