#=====================================================
# File created:        Wed-29-Oct-2025-at-11-29-49AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.038707
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1271.7529  0.2595
   00001    0.6244   -2391.1428  0.2821
   00002    0.5832   -2658.9798  0.2894
   00003    0.5436   -2862.6763  0.2919
   00004    0.5228   -3010.6397  0.2932
   00005    0.5020   -3178.4078  0.2954
   00006    0.4940   -3266.2529  0.2929
   00007    0.4816   -3354.8456  0.2999
   00008    0.4972   -3451.5810  0.2993
   00009    0.4740   -3524.0277  0.3172
   00010    0.4512   -3591.0521  0.3270
   00011    0.4616   -3624.7167  0.3322
   00012    0.4700   -3672.4461  0.3355
   00013    0.4572   -3728.7107  0.3381
   00014    0.4624   -3783.2278  0.3479
   00015    0.4564   -3794.9634  0.3574
   00016    0.4600   -3805.3692  0.3533
   00017    0.4420   -3827.1934  0.3497
   00018    0.4460   -3828.9519  0.3503
   00019    0.4372   -3846.5440  0.3533
   00020    0.4368   -3893.4008  0.3639
   00021    0.4368   -3868.7881  0.3682
   00022    0.4352   -3896.0397  0.3749
   00023    0.4368   -3952.6449  0.3790
   00024    0.4452   -3952.2868  0.3872
   00025    0.4304   -3958.9224  0.3921
   00026    0.4292   -3958.7891  0.3964
   00027    0.4452   -3958.5258  0.3966
   00028    0.4316   -3969.0678  0.3953
   00029    0.4200   -3987.2143  0.3950
   00030    0.4384   -3974.0353  0.3885
   00031    0.4368   -3990.3625  0.3847
   00032    0.4484   -3974.6695  0.3878
   00033    0.4440   -3992.7653  0.3955
   00034    0.4308   -3997.0358  0.3968
   00035    0.4300   -4013.7704  0.3996
   00036    0.4148   -4030.4768  0.4000
   00037    0.4152   -4053.8451  0.3964
   00038    0.4256   -4052.3256  0.3957
   00039    0.4324   -4058.6883  0.3967
   00040    0.4188   -4078.5269  0.3989
   00041    0.4212   -4087.4408  0.4016
   00042    0.4100   -4101.7525  0.4020
   00043    0.4164   -4072.5479  0.3956
   00044    0.4220   -4073.8809  0.3880
   00045    0.4360   -4063.8322  0.3893
   00046    0.4160   -4053.7628  0.3906
   00047    0.4124   -4064.0398  0.3923
   00048    0.4224   -4050.6967  0.3923
   00049    0.4328   -4043.3293  0.3962
   00050    0.4252   -4069.6890  0.3920
