#=====================================================
# File created:        Wed-29-Oct-2025-at-11-28-19AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.043235
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1276.2483  0.2716
   00001    0.6296   -2420.8870  0.2674
   00002    0.5628   -2742.5368  0.2728
   00003    0.5364   -2885.8995  0.2795
   00004    0.5320   -3042.3519  0.2913
   00005    0.5088   -3175.0048  0.2991
   00006    0.5064   -3272.3255  0.2997
   00007    0.4772   -3389.0116  0.2901
   00008    0.4680   -3475.6632  0.2909
   00009    0.4712   -3532.6868  0.2869
   00010    0.4744   -3575.9426  0.2952
   00011    0.4676   -3631.5237  0.3019
   00012    0.4572   -3691.5471  0.3053
   00013    0.4624   -3739.0882  0.3037
   00014    0.4588   -3802.7165  0.3095
   00015    0.4552   -3808.5205  0.3075
   00016    0.4508   -3815.2987  0.3058
   00017    0.4460   -3840.0586  0.2939
   00018    0.4428   -3825.9012  0.2868
   00019    0.4384   -3860.4303  0.2895
   00020    0.4340   -3861.4514  0.2917
   00021    0.4400   -3877.7523  0.2872
   00022    0.4288   -3870.1493  0.2877
   00023    0.4540   -3898.4287  0.2846
   00024    0.4184   -3942.0677  0.2792
   00025    0.4224   -3943.3759  0.2821
   00026    0.4384   -3956.5050  0.2776
   00027    0.4480   -3947.1013  0.2873
   00028    0.4344   -3951.3809  0.2893
   00029    0.4372   -3969.7954  0.2894
   00030    0.4352   -3986.0079  0.2951
   00031    0.4164   -3976.9379  0.3070
   00032    0.4428   -3991.4468  0.3067
   00033    0.4360   -4013.5738  0.3042
   00034    0.4192   -4037.7999  0.2987
   00035    0.4360   -4054.2055  0.3032
   00036    0.4268   -4083.4048  0.3028
   00037    0.4192   -4099.0719  0.3066
   00038    0.4460   -4108.2897  0.3074
   00039    0.4292   -4132.8142  0.3088
   00040    0.4364   -4138.5335  0.2964
   00041    0.4164   -4121.9851  0.3016
   00042    0.4320   -4121.6961  0.2976
   00043    0.4372   -4123.4431  0.2986
   00044    0.4256   -4118.6619  0.2991
   00045    0.4124   -4134.8365  0.2990
   00046    0.4104   -4142.3552  0.3004
   00047    0.4224   -4144.5500  0.3005
   00048    0.4240   -4165.3567  0.3054
   00049    0.4024   -4145.6760  0.3012
   00050    0.4308   -4176.8807  0.3048
