#=====================================================
# File created:        Mon-27-Oct-2025-at-02-30-25PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.026933
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2566.2733  0.7705
   00001    0.6304   -4719.0476  0.7676
   00002    0.5940   -5283.0613  0.7775
   00003    0.5508   -5684.4612  0.7697
   00004    0.5292   -6087.7401  0.7907
   00005    0.5108   -6313.8541  0.7995
   00006    0.4992   -6538.5922  0.8194
   00007    0.4848   -6810.4138  0.8176
   00008    0.4664   -6919.9055  0.8165
   00009    0.4944   -6975.7273  0.8179
   00010    0.4688   -7086.1833  0.8198
   00011    0.4680   -7147.3766  0.8269
   00012    0.4688   -7265.4862  0.8214
   00013    0.4756   -7330.8288  0.8300
   00014    0.4552   -7364.0235  0.8328
   00015    0.4716   -7375.9233  0.8320
   00016    0.4568   -7428.8461  0.8285
   00017    0.4720   -7496.6486  0.8290
   00018    0.4492   -7596.3610  0.8331
   00019    0.4800   -7668.1433  0.8310
   00020    0.4336   -7718.2999  0.8286
   00021    0.4232   -7712.1511  0.8239
   00022    0.4536   -7681.7685  0.8193
   00023    0.4316   -7746.2354  0.8286
   00024    0.4468   -7834.4271  0.8225
   00025    0.4400   -7900.5415  0.8294
   00026    0.4404   -7904.6053  0.8360
   00027    0.4356   -7909.1820  0.8347
   00028    0.4244   -7962.3710  0.8354
   00029    0.4228   -8028.5727  0.8349
   00030    0.4344   -8009.5225  0.8364
   00031    0.4144   -8049.3050  0.8307
   00032    0.4236   -8033.6092  0.8371
   00033    0.4212   -8018.5563  0.8450
   00034    0.4332   -8045.1598  0.8433
   00035    0.4348   -8050.4191  0.8482
   00036    0.4084   -8071.3500  0.8515
   00037    0.4328   -8042.4083  0.8527
   00038    0.4268   -8078.5822  0.8621
   00039    0.4416   -8123.3141  0.8706
   00040    0.4168   -8171.0002  0.8708
   00041    0.4348   -8172.4247  0.8603
   00042    0.4152   -8202.0133  0.8612
   00043    0.4288   -8191.6629  0.8578
   00044    0.4112   -8149.4961  0.8584
   00045    0.4284   -8148.2919  0.8630
   00046    0.4148   -8123.5585  0.8617
   00047    0.4128   -8174.9473  0.8639
   00048    0.4284   -8186.5659  0.8646
   00049    0.4120   -8201.1913  0.8703
   00050    0.4192   -8225.1719  0.8717
