#=====================================================
# File created:        Wed-29-Oct-2025-at-10-54-23AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.017376
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1205.0952  0.2618
   00001    0.6328   -2312.3771  0.2698
   00002    0.5924   -2612.0740  0.2667
   00003    0.5416   -2869.2063  0.2655
   00004    0.5268   -3028.0801  0.2737
   00005    0.5128   -3198.9569  0.2708
   00006    0.5000   -3347.8185  0.2697
   00007    0.4800   -3459.8721  0.2648
   00008    0.4800   -3509.0524  0.2603
   00009    0.4760   -3565.7823  0.2615
   00010    0.4652   -3615.6725  0.2637
   00011    0.4804   -3648.5644  0.2530
   00012    0.4592   -3731.9782  0.2593
   00013    0.4464   -3752.5951  0.2633
   00014    0.4628   -3763.8268  0.2587
   00015    0.4432   -3778.9884  0.2641
   00016    0.4540   -3802.1575  0.2685
   00017    0.4636   -3834.1150  0.2642
   00018    0.4528   -3844.2468  0.2619
   00019    0.4528   -3888.1208  0.2700
   00020    0.4264   -3919.0202  0.2651
   00021    0.4324   -3933.9054  0.2774
   00022    0.4444   -3952.8003  0.2772
   00023    0.4476   -3980.3562  0.2758
   00024    0.4328   -3965.9035  0.2750
   00025    0.4400   -3969.3336  0.2765
   00026    0.4360   -3968.0270  0.2807
   00027    0.4256   -3975.0513  0.2773
   00028    0.4268   -3961.8997  0.2680
   00029    0.4280   -3972.0048  0.2677
   00030    0.4320   -3951.2716  0.2760
   00031    0.4408   -3975.5336  0.2728
   00032    0.4268   -4003.0364  0.2797
   00033    0.4320   -3977.9150  0.2785
   00034    0.4292   -3983.9506  0.2803
   00035    0.4372   -3979.5270  0.2706
   00036    0.4440   -3997.0008  0.2752
   00037    0.4304   -3989.3063  0.2817
   00038    0.4456   -4016.5327  0.2839
   00039    0.4280   -4010.4910  0.2928
   00040    0.4172   -4031.4302  0.2954
   00041    0.4352   -4068.5091  0.2934
   00042    0.4248   -4045.9369  0.2972
   00043    0.4148   -4073.6457  0.3048
   00044    0.4280   -4103.9789  0.3030
   00045    0.4240   -4083.0673  0.3003
   00046    0.4144   -4073.4246  0.3073
   00047    0.4120   -4101.6467  0.3096
   00048    0.4284   -4091.6933  0.3126
   00049    0.3956   -4109.5806  0.3130
   00050    0.4128   -4104.9992  0.3120
