#=====================================================
# File created:        Wed-29-Oct-2025-at-11-28-24AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.042739
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1248.3111  0.2807
   00001    0.6208   -2298.4580  0.2919
   00002    0.5976   -2616.4570  0.2976
   00003    0.5500   -2837.3536  0.2995
   00004    0.5224   -3022.7559  0.3061
   00005    0.5172   -3156.2125  0.3077
   00006    0.5084   -3256.5717  0.3146
   00007    0.4932   -3351.7899  0.3101
   00008    0.4944   -3423.3040  0.3159
   00009    0.4776   -3493.3573  0.3167
   00010    0.4728   -3538.8479  0.3164
   00011    0.4720   -3597.6298  0.3153
   00012    0.4560   -3622.5557  0.3203
   00013    0.4568   -3644.8287  0.3198
   00014    0.4476   -3686.1783  0.3279
   00015    0.4540   -3709.1366  0.3390
   00016    0.4608   -3750.3145  0.3440
   00017    0.4424   -3770.4361  0.3538
   00018    0.4452   -3763.0524  0.3589
   00019    0.4564   -3775.4819  0.3593
   00020    0.4668   -3796.6031  0.3548
   00021    0.4540   -3817.3257  0.3496
   00022    0.4412   -3858.0914  0.3510
   00023    0.4324   -3900.7759  0.3514
   00024    0.4396   -3894.2535  0.3569
   00025    0.4332   -3915.8149  0.3658
   00026    0.4176   -3900.4544  0.3583
   00027    0.4352   -3923.0764  0.3514
   00028    0.4432   -3925.6753  0.3570
   00029    0.4180   -3927.7658  0.3638
   00030    0.4300   -3932.7729  0.3670
   00031    0.4332   -3941.3711  0.3648
   00032    0.4308   -3964.1298  0.3662
   00033    0.4276   -3976.4867  0.3725
   00034    0.4240   -3988.3688  0.3814
   00035    0.4304   -3994.6257  0.3732
   00036    0.4144   -3994.1638  0.3758
   00037    0.4388   -3971.1700  0.3734
   00038    0.4260   -3987.9158  0.3712
   00039    0.4356   -4016.7313  0.3684
   00040    0.4356   -4021.0927  0.3654
   00041    0.4352   -4036.1912  0.3696
   00042    0.4256   -4044.2841  0.3707
   00043    0.4212   -4060.4181  0.3707
   00044    0.4324   -4053.0320  0.3818
   00045    0.4112   -4059.7321  0.3778
   00046    0.4344   -4030.3226  0.3792
   00047    0.4256   -4039.3631  0.3858
   00048    0.4392   -4048.8689  0.3849
   00049    0.4260   -4081.2569  0.3855
   00050    0.4328   -4070.0079  0.3977
