#=====================================================
# File created:        Mon-27-Oct-2025-at-12-43-16PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.024596
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2510.8103  0.7774
   00001    0.6188   -4750.1984  0.8060
   00002    0.5816   -5372.7761  0.8125
   00003    0.5652   -5855.6769  0.8231
   00004    0.5208   -6207.2503  0.8260
   00005    0.5240   -6452.6389  0.8355
   00006    0.5024   -6643.1147  0.8490
   00007    0.4732   -6814.3160  0.8528
   00008    0.4860   -6966.3323  0.8482
   00009    0.4724   -7114.7749  0.8495
   00010    0.4720   -7209.6282  0.8445
   00011    0.4596   -7325.7052  0.8501
   00012    0.4612   -7466.9684  0.8567
   00013    0.4440   -7560.2587  0.8648
   00014    0.4464   -7583.2568  0.8730
   00015    0.4616   -7634.6152  0.8796
   00016    0.4340   -7670.4184  0.8842
   00017    0.4388   -7664.0057  0.8932
   00018    0.4300   -7707.8576  0.8971
   00019    0.4516   -7747.2314  0.9003
   00020    0.4464   -7839.9617  0.9057
   00021    0.4292   -7892.5010  0.9116
   00022    0.4268   -7900.7529  0.9060
   00023    0.4392   -7956.7569  0.9100
   00024    0.4460   -7973.4433  0.9086
   00025    0.4252   -7967.8430  0.9079
   00026    0.4404   -7998.4906  0.9158
   00027    0.4292   -8005.1567  0.9133
   00028    0.4296   -7998.8766  0.9036
   00029    0.4196   -7974.1626  0.9085
   00030    0.4424   -8005.6496  0.9150
   00031    0.4272   -8015.5094  0.9150
   00032    0.4424   -8044.7655  0.9238
   00033    0.4252   -8091.8117  0.9276
   00034    0.4388   -8053.1779  0.9307
   00035    0.4068   -8061.1248  0.9352
   00036    0.4300   -8100.4467  0.9386
   00037    0.4424   -8062.2861  0.9393
   00038    0.4100   -8130.7341  0.9385
   00039    0.4316   -8108.8631  0.9466
   00040    0.4232   -8124.4281  0.9458
   00041    0.4280   -8101.6605  0.9444
   00042    0.4328   -8060.0608  0.9433
   00043    0.4344   -8071.7532  0.9498
   00044    0.4192   -8138.6615  0.9552
   00045    0.4312   -8114.6395  0.9596
   00046    0.4288   -8161.7014  0.9632
   00047    0.4252   -8173.1328  0.9678
   00048    0.4072   -8241.7014  0.9766
   00049    0.4184   -8209.5750  0.9753
   00050    0.4116   -8203.7857  0.9731
