#=====================================================
# File created:        Wed-29-Oct-2025-at-11-30-08AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.023770
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1285.9868  0.2579
   00001    0.6308   -2286.3099  0.2580
   00002    0.5916   -2574.5417  0.2580
   00003    0.5544   -2810.9813  0.2541
   00004    0.5336   -3013.0213  0.2666
   00005    0.5076   -3152.2864  0.2721
   00006    0.5032   -3268.6706  0.2677
   00007    0.4888   -3344.2669  0.2706
   00008    0.4956   -3425.1349  0.2649
   00009    0.4908   -3474.4069  0.2668
   00010    0.4864   -3555.5078  0.2768
   00011    0.4624   -3596.7205  0.2831
   00012    0.4652   -3638.3988  0.2847
   00013    0.4568   -3679.6846  0.2939
   00014    0.4656   -3710.3042  0.2917
   00015    0.4420   -3755.9533  0.2963
   00016    0.4316   -3807.6404  0.2957
   00017    0.4396   -3838.6053  0.2960
   00018    0.4424   -3849.8091  0.2985
   00019    0.4504   -3855.9421  0.2982
   00020    0.4396   -3883.2799  0.3042
   00021    0.4284   -3893.1469  0.3074
   00022    0.4372   -3878.1712  0.3015
   00023    0.4388   -3880.6728  0.2958
   00024    0.4432   -3913.5446  0.2951
   00025    0.4564   -3920.4044  0.2874
   00026    0.4340   -3935.2622  0.2925
   00027    0.4480   -3940.8678  0.2903
   00028    0.4252   -3944.6190  0.2941
   00029    0.4256   -3968.2168  0.2944
   00030    0.4264   -3979.8933  0.2957
   00031    0.4188   -4000.0413  0.2994
   00032    0.4328   -3994.7451  0.3067
   00033    0.4496   -3999.3818  0.3061
   00034    0.4428   -4017.5386  0.2970
   00035    0.4188   -4047.0074  0.3045
   00036    0.4224   -4034.7776  0.3064
   00037    0.4352   -4022.6706  0.3032
   00038    0.4184   -4047.9655  0.2996
   00039    0.3940   -4079.0910  0.2985
   00040    0.4240   -4060.6476  0.3003
   00041    0.4300   -4044.4527  0.3092
   00042    0.4124   -4060.2985  0.3040
   00043    0.4212   -4046.0881  0.3035
   00044    0.4136   -4080.2544  0.3051
   00045    0.4168   -4073.9305  0.3099
   00046    0.4148   -4082.3521  0.3042
   00047    0.4144   -4061.9486  0.2984
   00048    0.4340   -4072.6713  0.3005
   00049    0.4264   -4086.8803  0.2976
   00050    0.4220   -4103.3903  0.2965
