#=====================================================
# File created:        Mon-27-Oct-2025-at-01-12-21PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.030347
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2404.9684  0.7752
   00001    0.6368   -4702.9053  0.8052
   00002    0.5952   -5359.8078  0.8221
   00003    0.5452   -5753.8888  0.8270
   00004    0.5252   -6043.5383  0.8208
   00005    0.5184   -6343.6771  0.8165
   00006    0.4956   -6570.4240  0.8295
   00007    0.4844   -6660.6820  0.8295
   00008    0.4768   -6804.2950  0.8402
   00009    0.4760   -6930.8213  0.8528
   00010    0.4776   -7057.3830  0.8625
   00011    0.4444   -7146.1406  0.8612
   00012    0.4572   -7253.6689  0.8675
   00013    0.4556   -7377.0599  0.8700
   00014    0.4600   -7401.4111  0.8650
   00015    0.4552   -7453.1983  0.8615
   00016    0.4580   -7427.5181  0.8650
   00017    0.4532   -7551.1876  0.8682
   00018    0.4460   -7629.7396  0.8720
   00019    0.4328   -7686.6187  0.8682
   00020    0.4400   -7701.5612  0.8754
   00021    0.4332   -7718.6334  0.8817
   00022    0.4284   -7710.2992  0.8844
   00023    0.4556   -7742.6249  0.8855
   00024    0.4576   -7778.4364  0.8841
   00025    0.4312   -7837.4760  0.8863
   00026    0.4304   -7877.3375  0.8865
   00027    0.4336   -7913.1659  0.9009
   00028    0.4484   -7929.9251  0.8998
   00029    0.4292   -7946.6280  0.8986
   00030    0.4176   -7941.8233  0.9085
   00031    0.4352   -7963.2386  0.9157
   00032    0.4136   -8043.1515  0.9137
   00033    0.4220   -7998.6649  0.9162
   00034    0.4036   -8029.4810  0.9310
   00035    0.4128   -8046.0652  0.9297
   00036    0.4236   -8054.0890  0.9237
   00037    0.4416   -8089.8802  0.9230
   00038    0.3976   -8128.4582  0.9231
   00039    0.4264   -8128.4894  0.9262
   00040    0.4204   -8066.6775  0.9286
   00041    0.4148   -8077.1138  0.9384
   00042    0.4328   -8128.7051  0.9398
   00043    0.4144   -8127.0431  0.9390
   00044    0.4292   -8120.4360  0.9423
   00045    0.4304   -8130.8827  0.9410
   00046    0.4300   -8127.7727  0.9434
   00047    0.4360   -8157.5905  0.9463
   00048    0.4316   -8130.1974  0.9498
   00049    0.4408   -8113.3535  0.9588
   00050    0.4312   -8106.8348  0.9587
