#=====================================================
# File created:        Fri-31-Oct-2025-at-03-21-59PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.160364
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2398.9631  0.2618 
   00001    0.5904   -4634.7194  0.2625 
   00002    0.4972   -4966.7510  0.2770 
   00003    0.4488   -5078.1605  0.2718 
   00004    0.4200   -5155.8028  0.2727 
   00005    0.4136   -5231.7015  0.2747 
   00006    0.3924   -5354.3306  0.2777 
   00007    0.3756   -5423.5339  0.2708 
   00008    0.3588   -5444.4694  0.2654 
   00009    0.3536   -5388.9964  0.2649 
   00010    0.3540   -5371.4626  0.2727 
   00011    0.3680   -5326.1753  0.2768 
   00012    0.3576   -5354.8049  0.2753 
   00013    0.3644   -5394.0953  0.2758 
   00014    0.3548   -5375.8135  0.2783 
   00015    0.3516   -5389.2530  0.2783 
   00016    0.3524   -5415.7753  0.2738 
   00017    0.3420   -5375.4929  0.2718 
   00018    0.3572   -5380.1573  0.2646 
   00019    0.3476   -5361.6786  0.2687 
   00020    0.3424   -5354.2449  0.2802 
   00021    0.3376   -5351.4679  0.2876 
   00022    0.3408   -5342.5747  0.2958 
   00023    0.3324   -5342.1122  0.2976 
   00024    0.3364   -5335.7678  0.3020 
   00025    0.3388   -5359.4230  0.3110 
   00026    0.3388   -5370.4244  0.3140 
   00027    0.3396   -5360.5235  0.3079 
   00028    0.3336   -5365.6447  0.3039 
   00029    0.3336   -5370.9655  0.3038 
   00030    0.3388   -5337.9941  0.2953 
   00031    0.3268   -5347.1566  0.2896 
   00032    0.3264   -5314.0238  0.2868 
   00033    0.3296   -5310.3435  0.2839 
   00034    0.3304   -5258.4076  0.2859 
   00035    0.3312   -5237.2078  0.2805 
   00036    0.3284   -5213.4958  0.2779 
   00037    0.3304   -5220.8819  0.2818 
   00038    0.3388   -5277.4289  0.2814 
   00039    0.3480   -5306.2921  0.2778 
   00040    0.3564   -5277.9237  0.2767 
   00041    0.3424   -5275.9772  0.2816 
   00042    0.3496   -5237.5062  0.2796 
   00043    0.3496   -5208.3058  0.2743 
   00044    0.3472   -5215.3284  0.2764 
   00045    0.3508   -5201.5783  0.2732 
   00046    0.3504   -5199.7374  0.2695 
   00047    0.3464   -5267.9306  0.2698 
   00048    0.3448   -5327.3829  0.2622 
   00049    0.3404   -5366.0424  0.2646 
   00050    0.3408   -5389.9396  0.2595 
