#=====================================================
# File created:        Wed-29-Oct-2025-at-11-30-53AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.036420
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1246.1218  0.2588
   00001    0.6268   -2367.9494  0.2783
   00002    0.5788   -2647.3240  0.2706
   00003    0.5628   -2863.4880  0.2854
   00004    0.5252   -3041.3063  0.2932
   00005    0.5088   -3169.5228  0.3020
   00006    0.5116   -3280.1612  0.3045
   00007    0.4884   -3370.1319  0.3066
   00008    0.4948   -3434.2818  0.3058
   00009    0.4708   -3480.6673  0.3120
   00010    0.5008   -3540.0581  0.3131
   00011    0.4596   -3609.9772  0.3226
   00012    0.4508   -3667.0571  0.3223
   00013    0.4512   -3671.9439  0.3226
   00014    0.4400   -3706.0240  0.3206
   00015    0.4432   -3744.7666  0.3192
   00016    0.4516   -3775.9117  0.3161
   00017    0.4648   -3803.4611  0.3206
   00018    0.4512   -3829.7979  0.3227
   00019    0.4428   -3837.5618  0.3140
   00020    0.4368   -3860.9570  0.3177
   00021    0.4464   -3840.2494  0.3168
   00022    0.4352   -3872.5414  0.3165
   00023    0.4548   -3900.3297  0.3117
   00024    0.4504   -3902.1782  0.3182
   00025    0.4220   -3933.0268  0.3089
   00026    0.4388   -3923.7160  0.3060
   00027    0.4304   -3946.5003  0.3110
   00028    0.4352   -3958.0424  0.3130
   00029    0.4420   -3983.6820  0.3191
   00030    0.4308   -3963.7345  0.3234
   00031    0.4200   -3990.6627  0.3292
   00032    0.4284   -4005.6230  0.3389
   00033    0.4264   -4014.1374  0.3460
   00034    0.4312   -4018.8688  0.3419
   00035    0.4232   -4027.9992  0.3419
   00036    0.4248   -4030.8742  0.3485
   00037    0.4400   -4028.8888  0.3473
   00038    0.4224   -4023.3000  0.3440
   00039    0.4312   -4044.1148  0.3480
   00040    0.4272   -4051.2143  0.3431
   00041    0.4136   -4063.8553  0.3568
   00042    0.4368   -4078.6533  0.3528
   00043    0.4188   -4096.9548  0.3529
   00044    0.4176   -4095.1969  0.3565
   00045    0.4288   -4071.3542  0.3575
   00046    0.4196   -4068.5326  0.3509
   00047    0.4184   -4054.3924  0.3479
   00048    0.4284   -4083.0890  0.3516
   00049    0.4444   -4096.3170  0.3554
   00050    0.4108   -4077.2022  0.3526
