#=====================================================
# File created:        Wed-29-Oct-2025-at-11-30-34AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.152933
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1265.7269  0.2668
   00001    0.6312   -2326.3520  0.2772
   00002    0.5740   -2614.7398  0.2715
   00003    0.5596   -2826.1805  0.2805
   00004    0.5232   -3029.8922  0.2838
   00005    0.5100   -3155.6998  0.2814
   00006    0.4852   -3300.7954  0.2871
   00007    0.4932   -3372.1048  0.2930
   00008    0.4612   -3454.4255  0.3032
   00009    0.4660   -3544.1643  0.3051
   00010    0.4724   -3587.4399  0.3092
   00011    0.4768   -3618.7866  0.3167
   00012    0.4548   -3686.8302  0.3174
   00013    0.4568   -3726.5911  0.3147
   00014    0.4548   -3765.1249  0.3172
   00015    0.4368   -3772.8201  0.3214
   00016    0.4612   -3790.1766  0.3214
   00017    0.4472   -3834.7170  0.3247
   00018    0.4512   -3882.3091  0.3306
   00019    0.4356   -3881.6673  0.3317
   00020    0.4356   -3872.5209  0.3422
   00021    0.4312   -3892.1765  0.3491
   00022    0.4448   -3912.9728  0.3482
   00023    0.4260   -3930.0515  0.3508
   00024    0.4244   -3949.4967  0.3521
   00025    0.4388   -3980.6395  0.3610
   00026    0.4444   -3975.4035  0.3678
   00027    0.4244   -3973.0348  0.3813
   00028    0.4200   -3998.7562  0.3849
   00029    0.4436   -3990.7874  0.3774
   00030    0.4312   -3997.1060  0.3767
   00031    0.4432   -3993.6723  0.3781
   00032    0.4200   -4013.7890  0.3810
   00033    0.4332   -4034.6068  0.3802
   00034    0.4252   -4033.4155  0.3868
   00035    0.4312   -4056.5380  0.3918
   00036    0.4300   -4056.9753  0.3940
   00037    0.4280   -4044.6004  0.3997
   00038    0.4424   -4045.0978  0.3975
   00039    0.4132   -4044.5801  0.3969
   00040    0.4204   -4033.1047  0.4018
   00041    0.4256   -4023.0870  0.4087
   00042    0.4200   -4051.9929  0.4032
   00043    0.4428   -4053.7108  0.4055
   00044    0.4216   -4055.9493  0.3988
   00045    0.4156   -4067.1251  0.3990
   00046    0.4340   -4077.3968  0.4036
   00047    0.4224   -4073.5881  0.4104
   00048    0.4144   -4078.3159  0.4122
   00049    0.4300   -4060.5267  0.4161
   00050    0.4340   -4112.3624  0.4211
