#=====================================================
# File created:        Mon-27-Oct-2025-at-01-13-52PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.022288
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2513.7325  0.7590
   00001    0.6292   -4656.3071  0.7645
   00002    0.5992   -5283.6185  0.7690
   00003    0.5380   -5788.1269  0.7636
   00004    0.5300   -6045.7762  0.7544
   00005    0.5140   -6326.3400  0.7591
   00006    0.4968   -6515.8106  0.7600
   00007    0.4632   -6736.3419  0.7555
   00008    0.4848   -6925.6978  0.7511
   00009    0.4692   -7098.6498  0.7552
   00010    0.4588   -7199.8540  0.7565
   00011    0.4548   -7282.4603  0.7607
   00012    0.4488   -7411.9483  0.7580
   00013    0.4532   -7500.6087  0.7617
   00014    0.4464   -7549.2273  0.7593
   00015    0.4520   -7595.3295  0.7624
   00016    0.4448   -7605.6063  0.7659
   00017    0.4340   -7686.1665  0.7659
   00018    0.4716   -7703.8127  0.7638
   00019    0.4428   -7768.8472  0.7589
   00020    0.4348   -7780.8274  0.7589
   00021    0.4416   -7848.3633  0.7565
   00022    0.4472   -7913.7290  0.7579
   00023    0.4368   -7906.8996  0.7617
   00024    0.4268   -7903.8717  0.7638
   00025    0.4376   -7952.5855  0.7571
   00026    0.4292   -7957.8344  0.7575
   00027    0.4280   -7968.0899  0.7545
   00028    0.4188   -7957.7770  0.7606
   00029    0.4268   -7993.1717  0.7642
   00030    0.4456   -7931.9785  0.7612
   00031    0.4344   -7934.9924  0.7612
   00032    0.4392   -7960.6456  0.7661
   00033    0.4324   -7959.4951  0.7585
   00034    0.4280   -7954.4263  0.7593
   00035    0.4336   -7962.8256  0.7647
   00036    0.4304   -7977.1391  0.7732
   00037    0.4332   -7960.9272  0.7747
   00038    0.4340   -7981.4976  0.7773
   00039    0.4136   -7990.8050  0.7803
   00040    0.4228   -7951.5268  0.7842
   00041    0.4080   -7976.9144  0.7790
   00042    0.4260   -8011.8294  0.7828
   00043    0.4304   -8047.8287  0.7840
   00044    0.4148   -8061.5279  0.7884
   00045    0.4324   -8068.6024  0.7901
   00046    0.4336   -8065.8795  0.7924
   00047    0.4332   -8042.8485  0.7897
   00048    0.4240   -7993.4478  0.7872
   00049    0.4324   -8016.9964  0.7892
   00050    0.4088   -8023.8192  0.7861
