#=====================================================
# File created:        Fri-31-Oct-2025-at-03-21-16PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.026844
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2434.3678  0.2566
   00001    0.6288   -4670.6268  0.2871
   00002    0.6068   -5252.9684  0.2927
   00003    0.5540   -5785.0522  0.3011
   00004    0.5204   -6117.7867  0.3108
   00005    0.4968   -6392.9386  0.3187
   00006    0.5040   -6631.8896  0.3278
   00007    0.4732   -6925.0049  0.3248
   00008    0.4780   -7056.3817  0.3296
   00009    0.4748   -7199.4655  0.3277
   00010    0.4504   -7335.2760  0.3201
   00011    0.4596   -7413.3230  0.3219
   00012    0.4700   -7474.3883  0.3337
   00013    0.4508   -7505.3201  0.3391
   00014    0.4184   -7543.5118  0.3430
   00015    0.4276   -7618.0382  0.3455
   00016    0.4520   -7705.6045  0.3435
   00017    0.4428   -7752.8244  0.3468
   00018    0.4420   -7764.1894  0.3465
   00019    0.4464   -7814.4095  0.3451
   00020    0.4428   -7894.1462  0.3518
   00021    0.4308   -7897.5773  0.3484
   00022    0.4220   -7901.4478  0.3466
   00023    0.4288   -7950.4973  0.3472
   00024    0.4292   -7991.1556  0.3484
   00025    0.4196   -8000.3002  0.3518
   00026    0.4440   -8008.3965  0.3549
   00027    0.4320   -8034.2655  0.3604
   00028    0.4228   -8062.2525  0.3612
   00029    0.4260   -8117.1931  0.3594
   00030    0.4220   -8080.9937  0.3538
   00031    0.4460   -8064.9714  0.3556
   00032    0.4152   -8087.8661  0.3494
   00033    0.4256   -8100.9343  0.3501
   00034    0.4404   -8139.8105  0.3494
   00035    0.4372   -8125.2831  0.3488
   00036    0.4276   -8144.7351  0.3443
   00037    0.4368   -8154.6436  0.3360
   00038    0.4324   -8138.7728  0.3390
   00039    0.4304   -8166.7356  0.3378
   00040    0.4200   -8197.9481  0.3390
   00041    0.4248   -8212.9984  0.3423
   00042    0.4140   -8213.7368  0.3453
   00043    0.4228   -8217.7110  0.3430
   00044    0.4284   -8225.6680  0.3429
   00045    0.4264   -8198.2557  0.3517
   00046    0.4156   -8194.1621  0.3534
   00047    0.4164   -8182.7443  0.3599
   00048    0.4240   -8187.2044  0.3548
   00049    0.4208   -8178.0664  0.3656
   00050    0.4260   -8223.2866  0.3597
