#=====================================================
# File created:        Mon-27-Oct-2025-at-12-53-53PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.032229
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2429.2836  0.7597
   00001    0.6216   -4724.8901  0.7743
   00002    0.5784   -5263.6877  0.7649
   00003    0.5444   -5709.8912  0.7635
   00004    0.5324   -6105.3666  0.7769
   00005    0.5384   -6327.0984  0.7814
   00006    0.5084   -6541.8800  0.7911
   00007    0.4936   -6731.6300  0.7991
   00008    0.4692   -6853.7495  0.7982
   00009    0.4732   -7014.7357  0.8011
   00010    0.4588   -7084.7965  0.8060
   00011    0.4792   -7153.3405  0.8115
   00012    0.4652   -7298.4121  0.8112
   00013    0.4832   -7376.0399  0.8022
   00014    0.4408   -7439.4206  0.8015
   00015    0.4528   -7557.3255  0.8061
   00016    0.4488   -7612.1726  0.8006
   00017    0.4648   -7640.0046  0.7982
   00018    0.4440   -7702.0612  0.7956
   00019    0.4456   -7719.1087  0.7938
   00020    0.4496   -7741.7747  0.7910
   00021    0.4188   -7822.5732  0.7908
   00022    0.4284   -7843.1709  0.7894
   00023    0.4348   -7846.9256  0.7918
   00024    0.4336   -7896.7651  0.7866
   00025    0.4316   -7943.3770  0.7811
   00026    0.4344   -7906.9078  0.7884
   00027    0.4228   -7899.0821  0.7873
   00028    0.4288   -7931.1675  0.7851
   00029    0.4304   -8003.0887  0.7864
   00030    0.4460   -7980.5637  0.7885
   00031    0.4260   -8028.0407  0.7926
   00032    0.4244   -8038.7745  0.7914
   00033    0.4260   -8029.5380  0.7975
   00034    0.4368   -8036.5712  0.8005
   00035    0.4184   -8047.0808  0.8041
   00036    0.4348   -8056.9765  0.8033
   00037    0.4160   -8046.4450  0.8021
   00038    0.4324   -8049.7784  0.7956
   00039    0.4456   -8112.1439  0.7929
   00040    0.4192   -8081.3232  0.7938
   00041    0.4236   -8113.1498  0.7948
   00042    0.4172   -8136.7457  0.7997
   00043    0.4228   -8139.7526  0.8004
   00044    0.4148   -8158.7148  0.7992
   00045    0.4028   -8119.2012  0.8011
   00046    0.4168   -8112.4582  0.8061
   00047    0.4152   -8066.4942  0.8109
   00048    0.4228   -8081.3472  0.8140
   00049    0.4460   -8070.1738  0.8149
   00050    0.4176   -8127.5831  0.8271
