#=====================================================
# File created:        Mon-27-Oct-2025-at-02-23-28PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.024526
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2424.3492  0.7700
   00001    0.6424   -4586.9372  0.7820
   00002    0.5852   -5228.1067  0.7986
   00003    0.5572   -5714.9409  0.8107
   00004    0.5192   -6099.7604  0.8200
   00005    0.5092   -6402.8992  0.8252
   00006    0.5120   -6753.7088  0.8333
   00007    0.4828   -6907.1754  0.8377
   00008    0.4752   -7085.1578  0.8405
   00009    0.4760   -7207.6620  0.8464
   00010    0.4736   -7354.8267  0.8619
   00011    0.4528   -7433.1149  0.8607
   00012    0.4660   -7461.8944  0.8674
   00013    0.4560   -7541.5744  0.8747
   00014    0.4412   -7577.6713  0.8788
   00015    0.4492   -7594.4883  0.8845
   00016    0.4652   -7640.6873  0.8878
   00017    0.4488   -7700.5548  0.8973
   00018    0.4560   -7747.8245  0.9031
   00019    0.4276   -7789.9023  0.8978
   00020    0.4520   -7821.6117  0.9021
   00021    0.4432   -7885.6258  0.9107
   00022    0.4384   -7909.0804  0.9134
   00023    0.4328   -7943.3400  0.9148
   00024    0.4224   -7967.4625  0.9082
   00025    0.4384   -7994.0465  0.9136
   00026    0.4280   -8048.4437  0.9121
   00027    0.4044   -8106.8130  0.9242
   00028    0.4276   -8121.8312  0.9345
   00029    0.4144   -8119.2586  0.9374
   00030    0.4352   -8096.6858  0.9381
   00031    0.4252   -8081.8156  0.9366
   00032    0.4372   -8122.8324  0.9358
   00033    0.4156   -8124.9157  0.9381
   00034    0.4156   -8141.3572  0.9483
   00035    0.4216   -8147.4416  0.9493
   00036    0.4256   -8211.7062  0.9523
   00037    0.4040   -8202.7826  0.9576
   00038    0.4116   -8209.1527  0.9538
   00039    0.4168   -8229.3219  0.9537
   00040    0.4208   -8183.1140  0.9534
   00041    0.4352   -8217.5153  0.9510
   00042    0.4148   -8257.9703  0.9555
   00043    0.4344   -8235.2115  0.9534
   00044    0.4252   -8239.7012  0.9462
   00045    0.4268   -8202.5488  0.9556
   00046    0.4196   -8181.7241  0.9487
   00047    0.4412   -8188.1558  0.9402
   00048    0.4296   -8187.1049  0.9401
   00049    0.4224   -8220.6826  0.9388
   00050    0.4396   -8269.0205  0.9433
