#=====================================================
# File created:        Sat-01-Nov-2025-at-08-48-45AM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.543101
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10112.4994  0.2560 
   00001    0.5773  -18198.1780  0.2601 
   00002    0.5035  -19329.4419  0.2583 
   00003    0.4568  -20150.8786  0.2599 
   00004    0.4321  -20559.2662  0.2599 
   00005    0.4090  -20811.5178  0.2595 
   00006    0.3949  -20891.8044  0.2615 
   00007    0.3854  -20885.3275  0.2648 
   00008    0.3837  -20920.6322  0.2687 
   00009    0.3783  -20934.9089  0.2664 
   00010    0.3700  -20964.8950  0.2659 
   00011    0.3761  -20999.9235  0.2650 
   00012    0.3666  -21043.6200  0.2673 
   00013    0.3674  -21013.0572  0.2685 
   00014    0.3664  -20990.0902  0.2701 
   00015    0.3650  -20871.6858  0.2692 
   00016    0.3561  -20785.0719  0.2719 
   00017    0.3584  -20743.8002  0.2733 
   00018    0.3622  -20773.9151  0.2719 
   00019    0.3653  -20799.7733  0.2697 
   00020    0.3605  -20801.5822  0.2665 
   00021    0.3613  -20748.8697  0.2657 
   00022    0.3559  -20767.3180  0.2694 
   00023    0.3552  -20843.9987  0.2718 
   00024    0.3572  -20933.6759  0.2706 
   00025    0.3562  -20930.4824  0.2691 
   00026    0.3566  -20909.1231  0.2698 
   00027    0.3578  -20918.3083  0.2620 
   00028    0.3634  -20905.1614  0.2610 
   00029    0.3645  -20903.9887  0.2613 
   00030    0.3654  -20894.5278  0.2556 
   00031    0.3600  -20894.6664  0.2527 
   00032    0.3599  -20922.0158  0.2568 
   00033    0.3662  -21043.0344  0.2579 
   00034    0.3614  -21118.8334  0.2642 
   00035    0.3566  -21207.6798  0.2653 
   00036    0.3583  -21171.0196  0.2651 
   00037    0.3586  -21055.5200  0.2634 
   00038    0.3569  -20989.0649  0.2629 
   00039    0.3542  -20939.5990  0.2635 
   00040    0.3629  -20970.8172  0.2637 
   00041    0.3646  -21047.2188  0.2655 
   00042    0.3638  -21060.1461  0.2678 
   00043    0.3649  -21051.5547  0.2700 
   00044    0.3635  -21037.6303  0.2705 
   00045    0.3604  -20941.5572  0.2742 
   00046    0.3602  -20931.5469  0.2745 
   00047    0.3574  -20954.5517  0.2728 
   00048    0.3540  -20944.8022  0.2698 
   00049    0.3571  -20946.5634  0.2702 
   00050    0.3534  -20937.7266  0.2664 
