#=====================================================
# File created:        Mon-27-Oct-2025-at-01-14-08PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.025018
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2474.5564  0.7676
   00001    0.6232   -4846.1776  0.7638
   00002    0.5756   -5428.6236  0.7600
   00003    0.5548   -5879.3946  0.7635
   00004    0.5296   -6213.0769  0.7611
   00005    0.5100   -6483.1274  0.7657
   00006    0.5072   -6711.5726  0.7565
   00007    0.4808   -6811.5737  0.7690
   00008    0.4728   -6970.1241  0.7690
   00009    0.4824   -7080.3319  0.7691
   00010    0.4688   -7162.5631  0.7680
   00011    0.4508   -7233.8988  0.7674
   00012    0.4508   -7286.0310  0.7693
   00013    0.4660   -7372.0776  0.7594
   00014    0.4676   -7460.5631  0.7652
   00015    0.4572   -7515.0100  0.7662
   00016    0.4436   -7571.0136  0.7690
   00017    0.4468   -7633.5255  0.7638
   00018    0.4328   -7703.4458  0.7576
   00019    0.4504   -7726.0249  0.7527
   00020    0.4380   -7763.1775  0.7573
   00021    0.4492   -7847.8905  0.7606
   00022    0.4316   -7867.6234  0.7674
   00023    0.4460   -7948.9327  0.7727
   00024    0.4320   -7978.2525  0.7768
   00025    0.4312   -7983.5667  0.7854
   00026    0.4176   -8001.7446  0.7865
   00027    0.4440   -8013.7134  0.7864
   00028    0.4284   -8016.1608  0.7917
   00029    0.4220   -7980.5921  0.8013
   00030    0.4224   -7993.8235  0.7965
   00031    0.4420   -8002.7450  0.8016
   00032    0.4244   -7985.7694  0.8020
   00033    0.4248   -8011.8958  0.8054
   00034    0.4316   -8072.5242  0.8019
   00035    0.4116   -8064.4998  0.8029
   00036    0.4116   -8062.5567  0.8080
   00037    0.4160   -8096.9405  0.7961
   00038    0.4252   -8089.6521  0.7950
   00039    0.4368   -8162.2447  0.7971
   00040    0.4316   -8131.5038  0.7955
   00041    0.4112   -8157.1643  0.7925
   00042    0.4240   -8145.0172  0.7927
   00043    0.4304   -8131.0932  0.7933
   00044    0.4208   -8141.0282  0.7940
   00045    0.4384   -8163.6990  0.7856
   00046    0.4356   -8154.6276  0.7873
   00047    0.4080   -8190.8412  0.7933
   00048    0.4268   -8219.0892  0.7854
   00049    0.4216   -8216.8861  0.7846
   00050    0.4080   -8209.7458  0.7844
