#=====================================================
# File created:        Fri-31-Oct-2025-at-03-21-05PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.865057
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2546.9206  0.2623
   00001    0.6908   -3709.1597  0.2551
   00002    0.6320   -4434.4183  0.2587
   00003    0.5888   -5024.2232  0.2604
   00004    0.5644   -5447.6843  0.2669
   00005    0.5600   -5844.7926  0.2771
   00006    0.5228   -6104.2187  0.2913
   00007    0.5220   -6310.5612  0.3050
   00008    0.5120   -6472.1540  0.3042
   00009    0.4772   -6605.1407  0.3044
   00010    0.4980   -6744.0463  0.3065
   00011    0.4748   -6910.5499  0.3035
   00012    0.4892   -7055.4383  0.3098
   00013    0.4744   -7131.3214  0.3099
   00014    0.4596   -7141.3415  0.3099
   00015    0.4676   -7218.8097  0.3136
   00016    0.4508   -7274.1753  0.3193
   00017    0.4524   -7304.9677  0.3239
   00018    0.4476   -7348.4428  0.3247
   00019    0.4484   -7413.4570  0.3333
   00020    0.4368   -7448.9505  0.3348
   00021    0.4476   -7494.0408  0.3408
   00022    0.4576   -7537.6232  0.3442
   00023    0.4440   -7595.8153  0.3499
   00024    0.4680   -7628.8165  0.3592
   00025    0.4428   -7641.0647  0.3605
   00026    0.4460   -7714.0305  0.3661
   00027    0.4520   -7706.9500  0.3686
   00028    0.4664   -7705.3502  0.3762
   00029    0.4336   -7753.1147  0.3761
   00030    0.4444   -7774.5869  0.3755
   00031    0.4280   -7836.5106  0.3853
   00032    0.4428   -7843.2130  0.3889
   00033    0.4364   -7862.4886  0.3925
   00034    0.4308   -7878.4635  0.3947
   00035    0.4256   -7937.0519  0.3966
   00036    0.4420   -7929.0399  0.3960
   00037    0.4300   -7977.1468  0.3983
   00038    0.4180   -8019.8845  0.3963
   00039    0.4140   -8034.0276  0.3936
   00040    0.4040   -7995.0355  0.3969
   00041    0.4216   -8058.6066  0.4083
   00042    0.4232   -8087.1531  0.4109
   00043    0.4280   -8037.3431  0.4047
   00044    0.4328   -8064.1620  0.4095
   00045    0.4308   -8052.8825  0.4044
   00046    0.4400   -8054.9623  0.4060
   00047    0.4392   -8075.8292  0.4070
   00048    0.4088   -8123.4592  0.4058
   00049    0.4368   -8150.0620  0.4185
   00050    0.4320   -8110.4778  0.4121
