#=====================================================
# File created:        Thu-23-Oct-2025-at-07-11-55PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.051425
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2412.9440  0.7551
   00001    0.6880   -3616.0825  0.7544
   00002    0.6508   -4473.3103  0.7567
   00003    0.6096   -5028.3279  0.7675
   00004    0.5528   -5438.6595  0.7823
   00005    0.5392   -5798.3773  0.7982
   00006    0.5164   -6062.9054  0.8020
   00007    0.5060   -6331.2495  0.7996
   00008    0.5060   -6527.8626  0.7970
   00009    0.5020   -6729.1439  0.7929
   00010    0.4872   -6919.2956  0.8128
   00011    0.4788   -7003.4627  0.8158
   00012    0.4728   -7122.9646  0.8231
   00013    0.4828   -7212.3702  0.8284
   00014    0.4684   -7285.2646  0.8349
   00015    0.4656   -7335.6462  0.8404
   00016    0.4408   -7400.2743  0.8422
   00017    0.4496   -7453.0029  0.8478
   00018    0.4508   -7529.2792  0.8578
   00019    0.4600   -7561.6611  0.8651
   00020    0.4504   -7632.3382  0.8773
   00021    0.4572   -7651.9871  0.8790
   00022    0.4400   -7746.2525  0.8746
   00023    0.4376   -7761.1267  0.8798
   00024    0.4404   -7769.3915  0.8783
   00025    0.4352   -7743.1437  0.8773
   00026    0.4436   -7763.9467  0.8750
   00027    0.4316   -7820.5087  0.8826
   00028    0.4328   -7834.3409  0.8837
   00029    0.4524   -7891.9618  0.8793
   00030    0.4340   -7906.1163  0.8662
   00031    0.4292   -7900.8789  0.8679
   00032    0.4320   -7881.8846  0.8663
   00033    0.4504   -7921.2826  0.8696
   00034    0.4424   -7928.2905  0.8650
   00035    0.4248   -7933.7762  0.8664
   00036    0.4264   -7974.3654  0.8681
   00037    0.4568   -7994.4412  0.8744
   00038    0.4332   -7989.3760  0.8792
   00039    0.4296   -8020.0990  0.8813
   00040    0.4368   -8015.4691  0.8821
   00041    0.4120   -8021.6502  0.8858
   00042    0.4280   -8059.1268  0.8818
   00043    0.4320   -8095.3007  0.8773
   00044    0.4352   -8087.8762  0.8757
   00045    0.4332   -8109.0587  0.8695
   00046    0.4312   -8074.7687  0.8673
   00047    0.4276   -8081.5581  0.8640
   00048    0.4192   -8068.1027  0.8605
   00049    0.4384   -8089.5009  0.8663
   00050    0.4388   -8070.1553  0.8724
