#=====================================================
# File created:        Wed-29-Oct-2025-at-10-55-04AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.855309
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2480.5197  0.2675
   00001    0.7064   -3665.5081  0.2746
   00002    0.6340   -4452.2334  0.2882
   00003    0.5976   -5044.7681  0.2940
   00004    0.5588   -5458.2441  0.2804
   00005    0.5368   -5739.4798  0.2801
   00006    0.5436   -5976.2427  0.2890
   00007    0.5188   -6235.2282  0.2931
   00008    0.5004   -6432.7919  0.3045
   00009    0.4908   -6606.3143  0.2994
   00010    0.5040   -6740.1588  0.3051
   00011    0.4900   -6860.4836  0.3039
   00012    0.4628   -6980.7783  0.3100
   00013    0.4648   -7070.0161  0.3126
   00014    0.4676   -7145.8286  0.3120
   00015    0.4588   -7253.6417  0.3156
   00016    0.4548   -7357.5194  0.3167
   00017    0.4612   -7426.0457  0.3128
   00018    0.4380   -7426.3780  0.3077
   00019    0.4584   -7509.5445  0.3076
   00020    0.4648   -7527.7166  0.3101
   00021    0.4476   -7546.8775  0.3069
   00022    0.4516   -7635.5300  0.3176
   00023    0.4344   -7657.3488  0.3228
   00024    0.4464   -7671.3475  0.3231
   00025    0.4364   -7710.8135  0.3222
   00026    0.4484   -7708.1013  0.3234
   00027    0.4440   -7723.3174  0.3260
   00028    0.4616   -7760.9119  0.3285
   00029    0.4504   -7813.7371  0.3342
   00030    0.4376   -7817.7899  0.3356
   00031    0.4304   -7824.0317  0.3432
   00032    0.4400   -7824.4508  0.3524
   00033    0.4336   -7865.4907  0.3546
   00034    0.4368   -7871.8587  0.3591
   00035    0.4244   -7874.4566  0.3556
   00036    0.4376   -7892.0041  0.3565
   00037    0.4332   -7877.7721  0.3586
   00038    0.4436   -7892.4808  0.3561
   00039    0.4420   -7951.7334  0.3448
   00040    0.4480   -7994.1367  0.3528
   00041    0.4504   -7980.0398  0.3522
   00042    0.4324   -8024.7043  0.3524
   00043    0.4252   -8053.6292  0.3496
   00044    0.4328   -8031.2835  0.3530
   00045    0.4296   -7988.1982  0.3467
   00046    0.4180   -8055.1392  0.3448
   00047    0.4172   -8069.9809  0.3406
   00048    0.4500   -8098.1971  0.3488
   00049    0.4268   -8079.0884  0.3489
   00050    0.4240   -8046.0432  0.3420
